date,equity,rates_level,rates_slope,credit_spread,usd,oil
2021-09-20,-0.0171230204,-0.0004000000,-0.0006000000,0.0001000000,0.0030174791,-0.0235800399
2021-09-21,-0.0008126797,0.0000666667,0.0002000000,-0.0001000000,-0.0010914995,0.0014192452
2021-09-22,0.0094745407,-0.0000000000,-0.0005000000,-0.0000000000,-0.0017200130,0.0260373051
2021-09-23,0.0120617159,0.0006333333,0.0006000000,-0.0002000000,-0.0009624220,0.0145407226
2021-09-24,0.0014599428,0.0005000000,0.0005000000,-0.0001000000,0.0021709611,0.0101620006
2021-09-27,-0.0027802175,0.0001000000,-0.0002000000,-0.0002000000,-0.0001450531,0.0181677452
2021-09-28,-0.0205743216,0.0004666667,0.0008000000,0.0002000000,0.0044186201,-0.0013246790
2021-09-29,0.0015679364,0.0000666667,0.0003000000,0.0001000000,0.0040383342,-0.0050498446
2021-09-30,-0.0119812210,-0.0002000000,0.0001000000,0.0004000000,-0.0006008298,0.0021293593
2021-10-01,0.0114259522,-0.0003000000,-0.0003000000,0.0000000000,-0.0022749105,0.0104477575
2021-10-04,-0.0130709340,0.0000666667,0.0001000000,-0.0000000000,-0.0009262917,0.0217329134
2021-10-05,0.0104694590,0.0003666667,0.0004000000,-0.0001000000,0.0008003874,0.0189996152
2021-10-06,0.0040944935,-0.0000333333,-0.0004000000,0.0000000000,0.0030827158,-0.0192571149
2021-10-07,0.0082640477,0.0004000000,0.0003000000,0.0001000000,-0.0018680512,0.0102486165
2021-10-08,-0.0019155743,0.0002000000,0.0003000000,-0.0001000000,0.0008223376,0.0137968140
2021-10-12,-0.0093091605,-0.0001666667,-0.0009000000,-0.0002000000,0.0013568618,0.0149722073
2021-10-13,0.0030179782,-0.0002000000,-0.0007000000,-0.0003000000,-0.0024753017,-0.0009912032
2021-10-14,0.0169191703,-0.0002666667,-0.0002000000,0.0002000000,-0.0023194419,0.0093769965
2021-10-15,0.0074324416,0.0005000000,-0.0002000000,-0.0005000000,-0.0010057128,0.0117203148
2021-10-18,0.0033691227,-0.0000333333,-0.0007000000,-0.0004000000,-0.0008821451,0.0027877116
2021-10-19,0.0073661600,0.0003666667,0.0011000000,0.0000000000,-0.0030126949,0.0068753663
2021-10-20,0.0036573206,0.0000666667,0.0004000000,0.0003000000,-0.0012211911,0.0144402533
2021-10-21,0.0029914275,0.0003000000,-0.0004000000,-0.0001000000,0.0009730236,-0.0210735768
2021-10-22,-0.0010731550,-0.0001333333,-0.0008000000,-0.0002000000,0.0004505281,0.0226126761
2021-10-25,0.0047369422,-0.0000666667,0.0002000000,0.0001000000,-0.0005719943,0.0013004672
