date,price
2019-01-02,180.0000
2019-01-03,184.6703
2019-01-04,187.4207
2019-01-07,191.9927
2019-01-08,194.8824
2019-01-09,193.0543
2019-01-10,190.1514
2019-01-11,189.3482
2019-01-14,186.8628
2019-01-15,184.8497
2019-01-16,185.7275
2019-01-17,189.8589
2019-01-18,188.5495
2019-01-21,187.7127
2019-01-22,192.0501
2019-01-23,189.9046
2019-01-24,185.0324
2019-01-25,182.9647
2019-01-28,186.2017
2019-01-29,184.1600
2019-01-30,189.5711
2019-01-31,187.7753
2019-02-01,190.4699
2019-02-04,189.0301
2019-02-05,186.3152
2019-02-06,187.2209
2019-02-07,190.3415
2019-02-08,188.5845
2019-02-11,186.2372
2019-02-12,184.7972
2019-02-13,182.2170
2019-02-14,181.2759
2019-02-15,184.6518
2019-02-18,182.9558
2019-02-19,180.9135
2019-02-20,182.4391
2019-02-21,184.1724
2019-02-22,181.4852
2019-02-25,182.7006
2019-02-26,184.3965
2019-02-27,182.6914
2019-02-28,184.3122
2019-03-01,181.9163
2019-03-04,182.3557
2019-03-05,182.3098
2019-03-06,186.6054
2019-03-07,180.7143
2019-03-08,176.2030
2019-03-11,173.1115
2019-03-12,175.4228
2019-03-13,175.7074
2019-03-14,175.3827
2019-03-15,181.0249
2019-03-18,179.1450
2019-03-19,176.8565
2019-03-20,175.3698
2019-03-21,172.4354
2019-03-22,173.0983
2019-03-25,175.0699
2019-03-26,178.7789
2019-03-27,179.3629
2019-03-28,179.1219
2019-03-29,177.7565
2019-04-01,180.9810
2019-04-02,182.5010
2019-04-03,187.5917
2019-04-04,185.3825
2019-04-05,185.0994
2019-04-08,181.7347
2019-04-09,182.6807
2019-04-10,183.6655
2019-04-11,184.5324
2019-04-12,182.1518
2019-04-15,183.3080
2019-04-16,188.0174
2019-04-17,188.1077
2019-04-18,189.9541
2019-04-19,190.4439
2019-04-22,193.9394
2019-04-23,193.8602
2019-04-24,200.6360
2019-04-25,205.8438
2019-04-26,206.8463
2019-04-29,206.4223
2019-04-30,205.2536
2019-05-01,209.4662
2019-05-02,204.1650
2019-05-03,197.4146
2019-05-06,196.4252
2019-05-07,193.7870
2019-05-08,200.1717
2019-05-09,205.7342
2019-05-10,203.7337
2019-05-13,204.2841
2019-05-14,209.9454
2019-05-15,212.9918
2019-05-16,206.2344
2019-05-17,205.9576
2019-05-20,207.8245
2019-05-21,211.4577
2019-05-22,213.2858
2019-05-23,218.3124
2019-05-24,223.3616
2019-05-27,224.9546
2019-05-28,231.0477
2019-05-29,229.4338
2019-05-30,241.2370
2019-05-31,243.7109
2019-06-03,244.3574
2019-06-04,246.0284
2019-06-05,248.4464
2019-06-06,253.8467
2019-06-07,252.3489
2019-06-10,253.2803
2019-06-11,251.5039
2019-06-12,249.8116
2019-06-13,248.9301
2019-06-14,248.5191
2019-06-17,247.8348
2019-06-18,246.6936
2019-06-19,250.8335
2019-06-20,253.3620
2019-06-21,251.0113
2019-06-24,257.7426
2019-06-25,250.9595
2019-06-26,242.5464
2019-06-27,243.3894
2019-06-28,247.5964
2019-07-01,244.3714
2019-07-02,247.1180
2019-07-03,246.6022
2019-07-04,248.5438
2019-07-05,241.8833
2019-07-08,237.9966
2019-07-09,242.8309
2019-07-10,243.4369
2019-07-11,243.2697
2019-07-12,245.6863
2019-07-15,244.9880
2019-07-16,245.1886
2019-07-17,240.5541
2019-07-18,244.0312
2019-07-19,245.2526
2019-07-22,244.9971
2019-07-23,245.9641
2019-07-24,246.7120
2019-07-25,250.8338
2019-07-26,255.5818
2019-07-29,252.9687
2019-07-30,254.0120
2019-07-31,251.2978
2019-08-01,254.0865
2019-08-02,257.3645
2019-08-05,259.6148
2019-08-06,263.2721
2019-08-07,257.9072
2019-08-08,252.1320
2019-08-09,244.3854
2019-08-12,240.0754
2019-08-13,242.9939
2019-08-14,241.1862
2019-08-15,238.7054
2019-08-16,238.0283
2019-08-19,239.5776
2019-08-20,240.9499
2019-08-21,241.3184
2019-08-22,234.6825
2019-08-23,235.8218
2019-08-26,231.4436
2019-08-27,235.7682
2019-08-28,241.9761
2019-08-29,239.2471
2019-08-30,234.1315
2019-09-02,231.1484
2019-09-03,228.7397
2019-09-04,228.5520
2019-09-05,233.8399
2019-09-06,231.0124
2019-09-09,234.1469
2019-09-10,233.2783
2019-09-11,230.1713
2019-09-12,230.5129
2019-09-13,229.2309
2019-09-16,233.4463
2019-09-17,234.3728
2019-09-18,233.2532
2019-09-19,231.8181
2019-09-20,227.8484
2019-09-23,225.1756
2019-09-24,227.0262
2019-09-25,225.7176
2019-09-26,231.6137
2019-09-27,236.0201
2019-09-30,233.1226
2019-10-01,237.5029
2019-10-02,236.6913
2019-10-03,239.9426
2019-10-04,241.7591
2019-10-07,232.9109
2019-10-08,228.9872
2019-10-09,229.8101
2019-10-10,235.9883
2019-10-11,234.2847
2019-10-14,233.1355
2019-10-15,232.0787
2019-10-16,231.2466
2019-10-17,234.6837
2019-10-18,236.0555
2019-10-21,237.5104
2019-10-22,241.7760
2019-10-23,244.8078
2019-10-24,248.6810
2019-10-25,250.0722
2019-10-28,246.6513
2019-10-29,247.2263
2019-10-30,245.1926
2019-10-31,239.5996
2019-11-01,239.5808
2019-11-04,233.3784
2019-11-05,229.7543
2019-11-06,231.2170
2019-11-07,229.4182
2019-11-08,224.7126
2019-11-11,228.6974
2019-11-12,228.6434
2019-11-13,229.2277
2019-11-14,232.5603
2019-11-15,228.8105
2019-11-18,233.7425
2019-11-19,237.2426
2019-11-20,240.1066
2019-11-21,239.5138
2019-11-22,239.1188
2019-11-25,247.3789
2019-11-26,238.0294
2019-11-27,239.4676
2019-11-28,240.7901
2019-11-29,241.5409
2019-12-02,250.3325
2019-12-03,242.1323
2019-12-04,238.9943
2019-12-05,241.1874
2019-12-06,239.0024
2019-12-09,231.8938
2019-12-10,232.4828
2019-12-11,224.7669
2019-12-12,224.1406
2019-12-13,222.8562
2019-12-16,220.3697
2019-12-17,227.4912
2019-12-18,220.5991
2019-12-19,216.7582
2019-12-20,211.3782
2019-12-23,212.4441
2019-12-24,216.2709
2019-12-25,215.6762
2019-12-26,218.9167
2019-12-27,217.9457
2019-12-30,218.1011
2019-12-31,224.6091
2020-01-01,223.7682
2020-01-02,223.8699
2020-01-03,228.9718
2020-01-06,236.2359
2020-01-07,232.9358
2020-01-08,237.7599
2020-01-09,241.8945
2020-01-10,239.1601
2020-01-13,235.8704
2020-01-14,237.0219
2020-01-15,231.8429
2020-01-16,231.9139
2020-01-17,232.5016
2020-01-20,232.4565
2020-01-21,231.6054
2020-01-22,233.6731
2020-01-23,235.0887
2020-01-24,233.7800
2020-01-27,240.2462
2020-01-28,239.8922
2020-01-29,236.7443
2020-01-30,235.8290
2020-01-31,235.2071
2020-02-03,236.0706
2020-02-04,233.9103
2020-02-05,238.8312
2020-02-06,237.1371
2020-02-07,232.8821
2020-02-10,235.2553
2020-02-11,241.1962
2020-02-12,240.9702
2020-02-13,242.5264
2020-02-14,242.1402
2020-02-17,240.8144
2020-02-18,243.7352
2020-02-19,237.2669
2020-02-20,242.5900
2020-02-21,238.8511
2020-02-24,238.3729
2020-02-25,240.6479
2020-02-26,242.2471
2020-02-27,248.5223
2020-02-28,250.1514
2020-03-02,249.2468
2020-03-03,247.8777
2020-03-04,250.2032
2020-03-05,253.9658
2020-03-06,252.2184
2020-03-09,251.6195
2020-03-10,259.9819
2020-03-11,266.3454
2020-03-12,261.8987
2020-03-13,264.2032
2020-03-16,266.2823
2020-03-17,275.7737
2020-03-18,274.1486
2020-03-19,275.7537
2020-03-20,271.7742
2020-03-23,269.4158
2020-03-24,270.4200
2020-03-25,268.5898
2020-03-26,268.6399
2020-03-27,269.9615
