date,price
2019-01-02,75.0000
2019-01-03,75.9397
2019-01-04,76.2728
2019-01-07,76.9853
2019-01-08,76.8640
2019-01-09,76.6753
2019-01-10,76.5663
2019-01-11,76.6180
2019-01-14,76.9273
2019-01-15,76.6829
2019-01-16,75.8890
2019-01-17,76.7500
2019-01-18,76.6360
2019-01-21,77.4285
2019-01-22,79.0995
2019-01-23,79.4639
2019-01-24,78.9401
2019-01-25,78.5185
2019-01-28,78.6157
2019-01-29,77.9295
2019-01-30,78.8885
2019-01-31,77.7957
2019-02-01,78.0186
2019-02-04,77.3935
2019-02-05,76.7643
2019-02-06,77.4642
2019-02-07,77.3942
2019-02-08,76.5217
2019-02-11,76.3766
2019-02-12,75.8916
2019-02-13,75.3117
2019-02-14,75.8351
2019-02-15,76.0714
2019-02-18,76.2210
2019-02-19,75.0957
2019-02-20,74.5301
2019-02-21,74.0686
2019-02-22,73.1520
2019-02-25,73.5849
2019-02-26,74.6555
2019-02-27,74.1200
2019-02-28,74.6821
2019-03-01,73.6879
2019-03-04,74.4383
2019-03-05,74.3068
2019-03-06,75.4520
2019-03-07,73.8192
2019-03-08,73.3854
2019-03-11,73.1654
2019-03-12,72.9648
2019-03-13,72.7594
2019-03-14,72.2439
2019-03-15,72.2982
2019-03-18,72.0344
2019-03-19,72.3329
2019-03-20,71.6700
2019-03-21,71.5258
2019-03-22,71.3258
2019-03-25,71.6908
2019-03-26,72.8793
2019-03-27,73.8014
2019-03-28,74.2192
2019-03-29,74.5955
2019-04-01,74.3042
2019-04-02,74.2973
2019-04-03,76.0117
2019-04-04,75.5321
2019-04-05,74.8586
2019-04-08,74.2560
2019-04-09,75.0523
2019-04-10,74.2401
2019-04-11,75.5595
2019-04-12,75.2395
2019-04-15,75.2372
2019-04-16,78.2334
2019-04-17,77.8222
2019-04-18,78.3815
2019-04-19,78.2451
2019-04-22,78.1474
2019-04-23,78.9707
2019-04-24,81.1540
2019-04-25,82.3687
2019-04-26,82.9432
2019-04-29,82.7205
2019-04-30,82.9469
2019-05-01,82.9950
2019-05-02,82.0429
2019-05-03,80.7460
2019-05-06,79.9581
2019-05-07,79.3561
2019-05-08,79.9492
2019-05-09,80.3499
2019-05-10,79.5402
2019-05-13,80.5995
2019-05-14,81.1781
2019-05-15,80.8263
2019-05-16,80.2112
2019-05-17,79.8437
2019-05-20,79.9824
2019-05-21,79.9118
2019-05-22,80.3607
2019-05-23,80.5798
2019-05-24,81.0748
2019-05-27,81.3471
2019-05-28,81.1009
2019-05-29,79.9676
2019-05-30,82.1601
2019-05-31,82.9690
2019-06-03,83.1661
2019-06-04,82.5084
2019-06-05,81.7670
2019-06-06,81.7659
2019-06-07,81.6378
2019-06-10,81.5421
2019-06-11,81.3418
2019-06-12,81.8897
2019-06-13,82.0485
2019-06-14,81.2200
2019-06-17,80.5386
2019-06-18,79.6965
2019-06-19,80.6496
2019-06-20,81.4589
2019-06-21,82.1110
2019-06-24,83.3480
2019-06-25,83.0031
2019-06-26,82.4987
2019-06-27,81.6134
2019-06-28,81.7023
2019-07-01,80.0905
2019-07-02,80.8187
2019-07-03,81.4490
2019-07-04,80.5501
2019-07-05,79.9422
2019-07-08,80.0849
2019-07-09,81.6706
2019-07-10,82.2657
2019-07-11,82.4388
2019-07-12,83.1539
2019-07-15,84.1129
2019-07-16,83.4342
2019-07-17,83.2854
2019-07-18,84.0121
2019-07-19,84.0902
2019-07-22,84.4656
2019-07-23,84.5968
2019-07-24,84.7201
2019-07-25,85.6456
2019-07-26,85.7128
2019-07-29,85.6970
2019-07-30,85.7638
2019-07-31,85.3875
2019-08-01,86.1814
2019-08-02,85.2574
2019-08-05,85.8703
2019-08-06,86.6465
2019-08-07,87.2396
2019-08-08,86.1071
2019-08-09,86.1331
2019-08-12,85.0615
2019-08-13,85.6061
2019-08-14,84.9251
2019-08-15,84.4125
2019-08-16,83.0353
2019-08-19,80.8898
2019-08-20,80.4367
2019-08-21,81.7456
2019-08-22,81.1019
2019-08-23,82.0108
2019-08-26,82.8139
2019-08-27,83.6986
2019-08-28,83.5831
2019-08-29,83.1299
2019-08-30,82.9466
2019-09-02,82.7754
2019-09-03,81.7249
2019-09-04,82.4992
2019-09-05,83.9576
2019-09-06,83.8969
2019-09-09,84.8982
2019-09-10,84.9002
2019-09-11,85.2329
2019-09-12,85.5755
2019-09-13,84.4146
2019-09-16,86.0006
2019-09-17,85.1752
2019-09-18,84.6606
2019-09-19,84.2790
2019-09-20,83.5000
2019-09-23,83.7194
2019-09-24,83.7894
2019-09-25,83.5101
2019-09-26,83.3175
2019-09-27,83.8366
2019-09-30,84.7038
2019-10-01,84.1960
2019-10-02,84.7756
2019-10-03,84.4739
2019-10-04,83.1198
2019-10-07,82.8391
2019-10-08,82.0044
2019-10-09,82.0455
2019-10-10,82.9831
2019-10-11,83.1998
2019-10-14,82.7252
2019-10-15,82.9530
2019-10-16,81.8974
2019-10-17,82.6252
2019-10-18,82.9280
2019-10-21,82.6009
2019-10-22,83.2948
2019-10-23,83.2695
2019-10-24,83.2145
2019-10-25,82.4011
2019-10-28,82.3584
2019-10-29,81.8608
2019-10-30,80.8100
2019-10-31,79.4316
2019-11-01,79.2644
2019-11-04,79.3772
2019-11-05,78.2273
2019-11-06,78.2916
2019-11-07,77.6246
2019-11-08,77.8703
2019-11-11,79.2977
2019-11-12,79.5108
2019-11-13,79.0659
2019-11-14,79.2958
2019-11-15,79.5362
2019-11-18,80.2377
2019-11-19,80.5409
2019-11-20,80.8266
2019-11-21,80.5435
2019-11-22,80.3589
2019-11-25,81.5674
2019-11-26,80.7054
2019-11-27,81.0495
2019-11-28,80.8679
2019-11-29,81.0946
2019-12-02,82.0600
2019-12-03,80.0240
2019-12-04,79.5818
2019-12-05,79.7820
2019-12-06,79.8253
2019-12-09,78.3292
2019-12-10,78.3587
2019-12-11,76.3514
2019-12-12,76.9227
2019-12-13,76.9811
2019-12-16,76.9202
2019-12-17,77.4597
2019-12-18,77.2509
2019-12-19,75.7537
2019-12-20,76.1977
2019-12-23,76.4102
2019-12-24,76.3588
2019-12-25,76.8808
2019-12-26,77.0601
2019-12-27,76.7014
2019-12-30,75.9412
2019-12-31,76.4435
2020-01-01,76.0018
2020-01-02,76.9685
2020-01-03,77.5822
2020-01-06,76.9623
2020-01-07,75.6543
2020-01-08,76.3110
2020-01-09,77.4247
2020-01-10,77.7743
2020-01-13,77.6479
2020-01-14,78.3545
2020-01-15,77.7920
2020-01-16,77.2714
2020-01-17,77.3852
2020-01-20,76.4336
2020-01-21,76.1871
2020-01-22,75.7125
2020-01-23,74.6612
2020-01-24,74.8682
2020-01-27,75.6210
2020-01-28,75.5927
2020-01-29,74.6322
2020-01-30,74.0844
2020-01-31,73.3135
2020-02-03,74.3059
2020-02-04,72.9717
2020-02-05,73.6603
2020-02-06,73.5421
2020-02-07,72.4434
2020-02-10,72.3659
2020-02-11,72.6202
2020-02-12,71.1218
2020-02-13,70.4908
2020-02-14,70.5901
2020-02-17,70.7739
2020-02-18,70.9489
