date,price
2021-09-17,34584.880000
2021-09-20,33970.470000
2021-09-21,33919.840000
2021-09-22,34258.320000
2021-09-23,34764.820000
2021-09-24,34798.000000
2021-09-27,34869.370000
2021-09-28,34299.990000
2021-09-29,34390.720000
2021-09-30,33843.920000
2021-10-01,34326.460000
2021-10-04,34002.920000
2021-10-05,34314.670000
2021-10-06,34416.990000
2021-10-07,34754.940000
2021-10-08,34746.250000
2021-10-12,34378.340000
2021-10-13,34377.810000
2021-10-14,34912.560000
2021-10-15,35294.760000
2021-10-18,35258.610000
2021-10-19,35457.310000
2021-10-20,35609.340000
2021-10-21,35603.080000
2021-10-22,35677.020000
2021-10-25,35741.150000
2021-10-26,35756.880000
2021-10-27,35490.690000
2021-10-28,35730.480000
2021-10-29,35819.560000
2021-11-01,35913.840000
2021-11-02,36052.630000
2021-11-03,36157.580000
2021-11-04,36124.230000
2021-11-05,36327.950000
2021-11-08,36432.220000
2021-11-09,36319.980000
2021-11-10,36079.940000
2021-11-12,36100.310000
2021-11-15,36087.450000
2021-11-16,36142.220000
2021-11-17,35931.050000
2021-11-18,35870.950000
2021-11-19,35601.980000
2021-11-22,35619.250000
2021-11-23,35813.800000
2021-11-24,35804.380000
2021-11-29,35135.940000
2021-11-30,34483.720000
2021-12-01,34022.040000
2021-12-02,34639.790000
2021-12-03,34580.080000
2021-12-06,35227.030000
2021-12-07,35719.430000
2021-12-08,35754.750000
2021-12-09,35754.690000
2021-12-10,35970.990000
2021-12-13,35650.950000
2021-12-14,35544.180000
2021-12-15,35927.430000
2021-12-16,35897.640000
2021-12-17,35365.440000
2021-12-20,34932.160000
2021-12-21,35492.700000
2021-12-22,35753.890000
2021-12-23,35950.560000
2021-12-27,36302.380000
2021-12-28,36398.210000
2021-12-29,36488.630000
2021-12-30,36398.080000
2022-01-03,36585.060000
2022-01-04,36799.650000
2022-01-05,36407.110000
2022-01-06,36236.470000
2022-01-07,36231.660000
2022-01-10,36068.870000
2022-01-11,36252.020000
2022-01-12,36290.320000
2022-01-13,36113.620000
2022-01-14,35911.810000
2022-01-18,35368.470000
2022-01-19,35028.650000
2022-01-20,34715.390000
2022-01-21,34265.370000
2022-01-24,34364.500000
2022-01-25,34297.730000
2022-01-26,34168.090000
2022-01-27,34160.780000
2022-01-28,34725.470000
2022-01-31,35131.860000
2022-02-01,35405.240000
2022-02-02,35629.330000
2022-02-03,35111.160000
2022-02-04,35089.740000
2022-02-07,35091.130000
2022-02-08,35462.780000
2022-02-09,35768.060000
2022-02-10,35241.590000
2022-02-11,34738.060000
