date,price
2021-09-17,15333.470000
2021-09-20,15012.190000
2021-09-21,15027.770000
2021-09-22,15176.510000
2021-09-23,15316.580000
2021-09-24,15329.680000
2021-09-27,15204.820000
2021-09-28,14770.300000
2021-09-29,14752.890000
2021-09-30,14689.620000
2021-10-01,14791.870000
2021-10-04,14472.120000
2021-10-05,14674.150000
2021-10-06,14766.750000
2021-10-07,14897.130000
2021-10-08,14820.750000
2021-10-12,14662.110000
2021-10-13,14774.600000
2021-10-14,15052.420000
2021-10-15,15146.920000
2021-10-18,15300.890000
2021-10-19,15410.720000
2021-10-20,15388.710000
2021-10-21,15489.590000
2021-10-22,15355.070000
2021-10-25,15514.190000
2021-10-26,15559.490000
2021-10-27,15598.390000
2021-10-28,15778.160000
2021-10-29,15850.470000
2021-11-01,15905.280000
2021-11-02,15972.490000
2021-11-03,16144.500000
2021-11-04,16346.240000
2021-11-05,16359.380000
2021-11-08,16336.030000
2021-11-09,16219.940000
2021-11-10,15985.570000
2021-11-12,16199.890000
2021-11-15,16189.120000
2021-11-16,16309.770000
2021-11-17,16308.070000
2021-11-18,16482.970000
2021-11-19,16573.340000
2021-11-22,16380.980000
2021-11-23,16306.720000
2021-11-24,16367.810000
2021-11-29,16399.240000
2021-11-30,16135.920000
2021-12-01,15877.720000
2021-12-02,15990.760000
2021-12-03,15712.040000
2021-12-06,15846.160000
2021-12-07,16325.660000
2021-12-08,16394.340000
2021-12-09,16149.570000
2021-12-10,16331.980000
2021-12-13,16082.550000
2021-12-14,15914.900000
2021-12-15,16289.590000
2021-12-16,15863.940000
2021-12-17,15801.460000
2021-12-20,15627.640000
2021-12-21,15986.280000
2021-12-22,16180.140000
2021-12-23,16308.210000
2021-12-27,16567.500000
2021-12-28,16488.660000
2021-12-29,16491.010000
2021-12-30,16429.100000
2022-01-03,16501.770000
2022-01-04,16279.730000
2022-01-05,15771.780000
2022-01-06,15765.360000
2022-01-07,15592.190000
2022-01-10,15614.430000
2022-01-11,15844.120000
2022-01-12,15905.100000
2022-01-13,15495.620000
2022-01-14,15611.590000
2022-01-18,15210.760000
2022-01-19,15047.840000
2022-01-20,14846.460000
2022-01-21,14438.400000
2022-01-24,14509.580000
2022-01-25,14149.120000
2022-01-26,14172.760000
2022-01-27,14003.110000
2022-01-28,14454.610000
2022-01-31,14930.050000
2022-02-01,15019.680000
2022-02-02,15139.740000
2022-02-03,14501.110000
2022-02-04,14694.350000
2022-02-07,14571.250000
2022-02-08,14747.030000
2022-02-09,15056.960000
2022-02-10,14705.640000
2022-02-11,14253.840000
2022-02-14,14268.590000
2022-02-15,14620.820000
2022-02-16,14603.640000
2022-02-17,14171.740000
2022-02-18,14009.540000
2022-02-22,13870.530000
2022-02-23,13509.430000
2022-02-24,13974.670000
2022-02-25,14189.160000
2022-02-28,14237.810000
2022-03-01,14005.990000
2022-03-02,14243.690000
2022-03-03,14035.210000
2022-03-04,13837.830000
2022-03-07,13319.380000
2022-03-08,13267.600000
2022-03-09,13742.200000
2022-03-10,13591.000000
2022-03-11,13301.830000
2022-03-14,13046.640000
2022-03-15,13458.560000
2022-03-16,13956.790000
2022-03-17,14118.600000
2022-03-18,14420.080000
2022-03-21,14376.090000
2022-03-22,14654.330000
2022-03-23,14447.550000
2022-03-24,14765.690000
2022-03-25,14754.310000
2022-03-28,14987.400000
2022-03-29,15239.320000
2022-03-30,15071.550000
2022-03-31,14838.490000
2022-04-01,14861.210000
2022-04-04,15159.580000
2022-04-05,14820.640000
2022-04-06,14498.880000
2022-04-07,14531.810000
2022-04-08,14327.260000
2022-04-11,13990.210000
2022-04-12,13940.240000
2022-04-13,14217.290000
2022-04-14,13893.210000
2022-04-18,13910.760000
2022-04-19,14210.260000
2022-04-20,13998.530000
2022-04-21,13720.450000
2022-04-22,13356.870000
2022-04-25,13533.220000
2022-04-26,13009.710000
2022-04-27,13003.360000
2022-04-28,13456.060000
2022-04-29,12854.800000
2022-05-02,13075.850000
2022-05-03,13089.900000
2022-05-04,13535.710000
2022-05-05,12850.550000
2022-05-06,12693.530000
2022-05-09,12187.720000
2022-05-10,12345.860000
2022-05-11,11967.560000
2022-05-12,11945.500000
2022-05-13,12387.400000
2022-05-16,12243.580000
2022-05-17,12564.100000
2022-05-18,11928.310000
2022-05-19,11875.630000
