date,price
2021-09-17,113.598900
2021-09-20,113.942200
2021-09-21,113.817900
2021-09-22,113.622300
2021-09-23,113.513000
2021-09-24,113.759700
2021-09-27,113.743200
2021-09-28,114.246900
2021-09-29,114.709200
2021-09-30,114.640300
2021-10-01,114.379800
2021-10-04,114.273900
2021-10-05,114.365400
2021-10-06,114.718500
2021-10-07,114.504400
2021-10-08,114.598600
2021-10-12,114.754200
2021-10-13,114.470500
2021-10-14,114.205300
2021-10-15,114.090500
2021-10-18,113.989900
2021-10-19,113.647000
2021-10-20,113.508300
2021-10-21,113.618800
2021-10-22,113.670000
2021-10-25,113.605000
2021-10-26,113.674000
2021-10-27,113.621800
2021-10-28,113.438900
2021-10-29,114.134900
2021-11-01,114.206700
2021-11-02,114.284700
2021-11-03,114.359300
2021-11-04,114.355800
2021-11-05,114.073200
2021-11-08,113.825600
2021-11-09,113.762000
2021-11-10,114.148400
2021-11-12,114.514400
2021-11-15,114.587600
2021-11-16,115.136000
2021-11-17,115.026300
2021-11-18,115.067800
2021-11-19,115.218700
2021-11-22,115.648100
2021-11-23,116.011800
2021-11-24,116.271100
2021-11-29,116.581000
2021-11-30,116.207100
2021-12-01,115.889000
2021-12-02,116.018000
2021-12-03,116.237700
2021-12-06,116.153800
2021-12-07,115.855500
2021-12-08,115.441800
2021-12-09,115.778400
2021-12-10,115.573200
2021-12-13,115.842000
2021-12-14,116.239700
2021-12-15,116.421900
2021-12-16,115.714600
2021-12-17,115.791000
2021-12-20,116.009200
2021-12-21,116.108900
2021-12-22,115.748500
2021-12-23,115.533700
2021-12-27,115.468400
2021-12-28,115.419200
2021-12-29,115.367800
2021-12-30,115.283000
2022-01-03,115.410100
2022-01-04,115.310300
2022-01-05,115.137000
2022-01-06,115.404600
2022-01-07,115.045100
2022-01-10,115.221600
2022-01-11,114.833200
2022-01-12,114.355000
2022-01-13,114.177000
2022-01-14,114.382500
2022-01-18,114.737300
2022-01-19,114.610900
2022-01-20,114.464200
2022-01-21,114.612500
2022-01-24,115.203400
2022-01-25,115.165400
2022-01-26,115.092200
2022-01-27,115.978000
2022-01-28,116.039300
2022-01-31,115.566000
2022-02-01,115.368500
2022-02-02,115.153800
2022-02-03,114.906500
2022-02-04,115.136200
2022-02-07,115.009800
2022-02-08,115.089200
2022-02-09,114.823200
2022-02-10,114.552700
2022-02-11,114.841300
2022-02-14,115.194600
2022-02-15,114.930000
2022-02-16,114.688600
2022-02-17,114.675500
2022-02-18,114.798200
2022-02-22,114.700200
2022-02-23,114.666800
2022-02-24,115.941900
2022-02-25,115.257700
2022-02-28,115.222400
2022-03-01,115.796200
2022-03-02,115.762300
2022-03-03,115.949500
2022-03-04,116.650300
2022-03-07,117.327800
2022-03-08,117.617600
2022-03-09,116.596100
2022-03-10,116.740100
2022-03-11,117.019200
2022-03-14,117.150600
2022-03-15,117.246000
2022-03-16,116.807300
2022-03-17,116.046700
2022-03-18,116.137800
2022-03-21,115.939800
2022-03-22,116.082400
2022-03-23,116.005000
2022-03-24,115.959900
2022-03-25,115.792100
2022-03-28,116.191100
2022-03-29,115.567900
2022-03-30,115.081800
2022-03-31,115.221800
2022-04-01,115.481400
2022-04-04,115.411200
2022-04-05,115.730000
2022-04-06,115.999500
2022-04-07,116.351200
2022-04-08,116.417600
2022-04-11,116.540100
2022-04-12,116.386600
2022-04-13,116.279600
2022-04-14,116.755800
2022-04-18,116.844100
2022-04-19,117.132400
2022-04-20,116.730600
2022-04-21,117.143200
2022-04-22,118.018600
2022-04-25,118.627100
2022-04-26,118.962400
2022-04-27,119.470800
2022-04-28,120.067500
2022-04-29,119.493300
2022-05-02,119.882500
2022-05-03,119.704300
2022-05-04,119.559200
2022-05-05,120.006800
2022-05-06,119.857700
2022-05-09,120.497200
2022-05-10,120.774200
2022-05-11,120.392500
2022-05-12,121.279600
2022-05-13,120.844200
2022-05-16,120.688100
2022-05-17,119.887100
2022-05-18,120.027400
2022-05-19,119.427800
2022-05-20,119.367700
2022-05-23,118.716900
2022-05-24,118.624500
2022-05-25,118.959800
2022-05-26,118.768700
2022-05-27,118.283400
2022-05-31,118.070400
2022-06-01,118.695400
2022-06-02,118.065800
2022-06-03,118.215300
2022-06-06,118.308100
2022-06-07,118.441400
2022-06-08,118.395100
2022-06-09,118.922600
2022-06-10,119.998100
2022-06-13,121.152300
2022-06-14,121.666900
2022-06-15,121.640300
2022-06-16,120.671400
2022-06-17,121.236900
2022-06-21,120.642700
2022-06-22,120.519700
2022-06-23,120.762200
2022-06-24,120.485300
2022-06-27,120.173600
2022-06-28,120.620000
2022-06-29,120.961600
2022-06-30,120.965200
2022-07-01,121.505800
2022-07-05,122.620300
2022-07-06,123.007300
2022-07-07,122.725700
2022-07-08,122.466200
2022-07-11,123.297400
2022-07-12,123.452400
2022-07-13,123.283400
2022-07-14,124.062200
2022-07-15,123.476500
2022-07-18,122.772700
2022-07-19,122.481900
2022-07-20,122.599700
2022-07-21,122.903200
2022-07-22,122.451000
2022-07-25,122.459400
2022-07-26,122.758100
2022-07-27,122.816900
2022-07-28,122.116100
2022-07-29,121.767800
2022-08-01,121.410900
2022-08-02,121.948600
2022-08-03,122.388800
2022-08-04,121.833300
2022-08-05,122.321000
2022-08-08,121.878300
2022-08-09,121.861400
2022-08-10,120.754300
2022-08-11,120.716300
2022-08-12,121.018000
2022-08-15,121.431500
2022-08-16,121.680700
2022-08-17,122.071100
2022-08-18,122.362700
2022-08-19,123.050100
2022-08-22,123.605000
2022-08-23,123.054700
2022-08-24,123.109000
2022-08-25,123.058600
2022-08-26,123.065600
2022-08-29,123.468600
2022-08-30,123.684800
2022-08-31,123.535000
2022-09-01,124.400600
2022-09-02,123.774300
2022-09-06,124.767000
2022-09-07,124.840800
2022-09-08,124.578000
2022-09-09,123.787400
2022-09-12,123.333200
2022-09-13,124.424200
2022-09-14,124.450900
2022-09-15,124.884300
2022-09-16,124.879400
2022-09-19,125.010400
2022-09-20,125.124800
2022-09-21,125.739900
2022-09-22,126.166700
2022-09-23,127.285300
2022-09-26,128.453900
2022-09-27,128.438600
2022-09-28,128.088400
2022-09-29,127.543700
2022-09-30,127.514800
2022-10-03,127.081300
2022-10-04,126.181900
2022-10-05,126.861600
2022-10-06,127.249300
2022-10-07,127.311100
2022-10-11,127.664100
2022-10-12,128.148100
2022-10-13,127.728600
2022-10-14,128.332500
2022-10-17,127.644800
2022-10-18,127.915300
2022-10-19,128.396800
2022-10-20,128.005200
2022-10-21,127.673500
2022-10-24,128.030400
2022-10-25,127.377100
2022-10-26,126.472300
2022-10-27,126.702800
2022-10-28,127.213500
2022-10-31,127.621900
2022-11-01,127.398700
2022-11-02,127.311500
2022-11-03,128.174300
2022-11-04,127.146800
2022-11-07,126.306200
2022-11-08,125.633000
2022-11-09,125.986100
2022-11-10,124.704400
2022-11-14,123.427700
2022-11-15,123.039000
2022-11-16,123.281700
2022-11-17,123.977000
2022-11-18,123.852400
2022-11-21,124.700900
2022-11-22,124.236500
2022-11-23,123.757400
2022-11-25,123.338600
2022-11-28,123.603200
2022-11-29,123.661500
2022-11-30,123.517500
2022-12-01,122.004500
2022-12-02,122.010200
2022-12-05,122.638400
2022-12-06,123.019100
2022-12-07,122.760800
2022-12-08,122.415200
2022-12-09,122.420100
2022-12-12,122.771400
2022-12-13,121.849300
2022-12-14,121.822600
2022-12-15,122.551900
2022-12-16,122.650500
2022-12-19,122.527500
2022-12-20,122.135700
2022-12-21,122.282800
2022-12-22,122.241900
2022-12-23,121.974300
2022-12-27,121.753900
2022-12-28,122.007500
2022-12-29,121.657700
2022-12-30,121.425600
2023-01-03,122.090500
2023-01-04,121.500800
2023-01-05,122.101700
2023-01-06,121.085200
2023-01-09,120.150800
2023-01-10,120.248300
2023-01-11,120.161400
2023-01-12,119.421800
2023-01-13,119.167300
2023-01-17,119.212100
2023-01-18,119.075500
2023-01-19,119.610700
2023-01-20,119.348600
2023-01-23,119.143400
2023-01-24,119.095800
2023-01-25,118.968600
2023-01-26,119.021000
2023-01-27,118.922300
2023-01-30,118.895300
2023-01-31,118.980200
2023-02-01,118.625900
2023-02-02,118.342100
2023-02-03,119.509500
2023-02-06,120.541000
2023-02-07,120.347500
2023-02-08,120.143600
2023-02-09,119.978100
2023-02-10,120.141900
2023-02-13,119.982800
2023-02-14,119.922900
2023-02-15,120.455700
2023-02-16,120.465100
2023-02-17,120.552600
2023-02-21,120.625600
2023-02-22,120.838900
2023-02-23,121.089600
2023-02-24,121.568100
2023-02-27,121.394100
2023-02-28,121.334100
2023-03-01,120.634700
2023-03-02,121.130200
2023-03-03,120.774200
2023-03-06,120.485000
2023-03-07,121.462300
2023-03-08,121.451100
2023-03-09,121.445800
2023-03-10,121.242100
2023-03-13,120.889700
2023-03-14,121.014100
2023-03-15,122.107900
2023-03-16,121.722100
2023-03-17,121.564300
2023-03-20,121.014100
2023-03-21,120.895800
2023-03-22,120.621700
2023-03-23,119.758700
2023-03-24,120.459800
2023-03-27,120.254100
2023-03-28,119.713800
2023-03-29,119.725800
2023-03-30,119.407800
2023-03-31,119.360200
2023-04-03,119.320400
2023-04-04,119.142000
2023-04-05,119.295300
2023-04-06,119.307200
2023-04-10,119.794800
2023-04-11,119.524800
2023-04-12,119.003000
2023-04-13,118.391500
2023-04-14,118.856700
2023-04-17,119.278700
2023-04-18,119.104900
