date,price
2019-01-02,180.0000
2019-01-03,181.9409
2019-01-04,183.8363
2019-01-07,185.0209
2019-01-08,184.5096
2019-01-09,184.8816
2019-01-10,183.7355
2019-01-11,182.6264
2019-01-14,179.4158
2019-01-15,177.1123
2019-01-16,178.4883
2019-01-17,177.5951
2019-01-18,177.9697
2019-01-21,178.7289
2019-01-22,179.3211
2019-01-23,178.9627
2019-01-24,178.0988
2019-01-25,178.6739
2019-01-28,181.3265
2019-01-29,179.7817
2019-01-30,181.6204
2019-01-31,181.2182
2019-02-01,182.0277
2019-02-04,184.8383
2019-02-05,186.5177
2019-02-06,191.4078
2019-02-07,193.8393
2019-02-08,195.2673
2019-02-11,196.1242
2019-02-12,197.6123
2019-02-13,197.1179
2019-02-14,199.4418
2019-02-15,196.9102
2019-02-18,198.9590
2019-02-19,198.0992
2019-02-20,200.8938
2019-02-21,200.8297
2019-02-22,202.3876
2019-02-25,201.6074
2019-02-26,199.7471
2019-02-27,200.3741
2019-02-28,203.2981
2019-03-01,206.4423
2019-03-04,207.6463
2019-03-05,208.9134
2019-03-06,208.0636
2019-03-07,204.2836
2019-03-08,202.4960
2019-03-11,203.6960
2019-03-12,203.7394
2019-03-13,204.3742
2019-03-14,204.5928
2019-03-15,207.4575
2019-03-18,206.6605
2019-03-19,206.4271
2019-03-20,205.3102
2019-03-21,202.0532
2019-03-22,203.4370
2019-03-25,203.6314
2019-03-26,207.3314
2019-03-27,204.2862
2019-03-28,202.2208
2019-03-29,201.3302
2019-04-01,202.5984
2019-04-02,204.4083
2019-04-03,205.6060
2019-04-04,205.6927
2019-04-05,202.7450
2019-04-08,202.8710
2019-04-09,197.9611
2019-04-10,197.0540
2019-04-11,196.7272
2019-04-12,198.1803
2019-04-15,193.6125
2019-04-16,191.8295
2019-04-17,195.2270
2019-04-18,194.9646
2019-04-19,193.2911
2019-04-22,191.3957
2019-04-23,189.5991
2019-04-24,187.5229
2019-04-25,188.1421
2019-04-26,188.3951
2019-04-29,185.2148
2019-04-30,187.1746
2019-05-01,190.5706
2019-05-02,189.1392
2019-05-03,189.6643
2019-05-06,187.2616
2019-05-07,186.0533
2019-05-08,186.1115
2019-05-09,190.1152
2019-05-10,192.4123
2019-05-13,195.9694
2019-05-14,196.9272
2019-05-15,197.6459
2019-05-16,198.0425
2019-05-17,200.0033
2019-05-20,200.0150
2019-05-21,198.2621
2019-05-22,197.5733
2019-05-23,196.8013
2019-05-24,195.9605
2019-05-27,195.4448
2019-05-28,194.7460
2019-05-29,189.3040
2019-05-30,188.3854
2019-05-31,188.0448
2019-06-03,190.4990
2019-06-04,190.6531
2019-06-05,189.4241
2019-06-06,186.4754
2019-06-07,190.5091
2019-06-10,194.2680
2019-06-11,194.7812
2019-06-12,196.4821
2019-06-13,195.6498
2019-06-14,200.4719
2019-06-17,201.8898
2019-06-18,200.8589
2019-06-19,202.0826
2019-06-20,201.0185
2019-06-21,203.2030
2019-06-24,202.8781
2019-06-25,201.7186
2019-06-26,201.5474
2019-06-27,202.3900
2019-06-28,203.7524
2019-07-01,203.8223
2019-07-02,203.7821
2019-07-03,204.8103
2019-07-04,202.8801
2019-07-05,203.0879
2019-07-08,203.8403
2019-07-09,204.8792
2019-07-10,206.3536
2019-07-11,201.9194
2019-07-12,202.3973
2019-07-15,203.6498
2019-07-16,206.6182
2019-07-17,204.7613
2019-07-18,203.2643
2019-07-19,198.3299
2019-07-22,198.1155
2019-07-23,203.0450
2019-07-24,202.5533
2019-07-25,203.4425
2019-07-26,204.7090
2019-07-29,206.4941
2019-07-30,205.4602
2019-07-31,207.0077
2019-08-01,208.2772
2019-08-02,202.8664
2019-08-05,204.2474
2019-08-06,204.9079
2019-08-07,203.8224
2019-08-08,205.2794
2019-08-09,204.5880
2019-08-12,206.2254
2019-08-13,208.3582
2019-08-14,207.4471
2019-08-15,209.4668
2019-08-16,210.5425
2019-08-19,207.2805
2019-08-20,204.2786
2019-08-21,203.3355
2019-08-22,205.3056
2019-08-23,203.6542
2019-08-26,206.5813
2019-08-27,206.6855
2019-08-28,211.1329
2019-08-29,210.9374
2019-08-30,210.0973
2019-09-02,212.2108
2019-09-03,216.6439
2019-09-04,217.6140
2019-09-05,220.8664
2019-09-06,221.0051
2019-09-09,222.6121
2019-09-10,221.5802
2019-09-11,220.5706
2019-09-12,218.8687
2019-09-13,220.5795
2019-09-16,217.4499
2019-09-17,214.8788
2019-09-18,216.0880
2019-09-19,218.7747
2019-09-20,219.0565
2019-09-23,221.6682
2019-09-24,221.1256
2019-09-25,218.2124
2019-09-26,217.6831
2019-09-27,217.3031
2019-09-30,218.5130
2019-10-01,217.9654
2019-10-02,218.3779
2019-10-03,214.3517
2019-10-04,213.3749
2019-10-07,216.6920
2019-10-08,217.8596
2019-10-09,220.5552
2019-10-10,219.6601
2019-10-11,219.9570
2019-10-14,223.3928
