date,price
2019-01-02,80.0000
2019-01-03,80.4928
2019-01-04,81.3992
2019-01-07,81.4352
2019-01-08,82.0089
2019-01-09,81.4976
2019-01-10,81.0584
2019-01-11,80.4463
2019-01-14,80.3231
2019-01-15,79.2313
2019-01-16,78.1862
2019-01-17,78.9110
2019-01-18,78.8340
2019-01-21,78.2489
2019-01-22,78.6928
2019-01-23,78.7417
2019-01-24,79.2058
2019-01-25,78.8789
2019-01-28,79.1710
2019-01-29,78.7032
2019-01-30,78.4652
2019-01-31,78.1706
2019-02-01,77.9621
2019-02-04,77.6349
2019-02-05,77.7054
2019-02-06,77.7665
2019-02-07,78.1734
2019-02-08,78.7363
2019-02-11,77.4612
2019-02-12,77.8114
2019-02-13,77.2578
2019-02-14,77.3299
2019-02-15,77.6234
2019-02-18,77.2442
2019-02-19,77.2838
2019-02-20,77.0626
2019-02-21,77.3262
2019-02-22,77.0723
2019-02-25,77.3818
2019-02-26,76.6392
2019-02-27,76.7002
2019-02-28,77.2298
2019-03-01,77.2177
2019-03-04,77.0111
2019-03-05,76.5009
2019-03-06,76.2397
2019-03-07,76.0665
2019-03-08,75.7179
2019-03-11,75.5447
2019-03-12,75.8970
2019-03-13,75.6125
2019-03-14,75.3111
2019-03-15,75.0847
2019-03-18,74.0087
2019-03-19,73.7310
2019-03-20,73.7644
2019-03-21,73.7731
2019-03-22,73.4261
2019-03-25,72.5920
2019-03-26,72.5850
2019-03-27,72.7462
2019-03-28,73.5448
2019-03-29,73.4667
2019-04-01,73.7067
2019-04-02,73.3000
2019-04-03,73.4415
2019-04-04,72.7121
2019-04-05,72.9935
2019-04-08,73.5037
2019-04-09,74.2003
2019-04-10,74.5446
2019-04-11,75.3605
2019-04-12,75.6404
2019-04-15,75.0907
2019-04-16,75.4609
2019-04-17,76.0600
2019-04-18,75.9163
2019-04-19,76.3272
2019-04-22,77.0352
2019-04-23,77.7612
2019-04-24,77.6469
2019-04-25,77.8647
2019-04-26,78.0115
2019-04-29,77.4926
2019-04-30,77.0815
2019-05-01,76.8103
2019-05-02,76.4431
2019-05-03,76.1888
2019-05-06,75.8599
2019-05-07,75.7787
2019-05-08,75.8009
2019-05-09,75.9040
2019-05-10,76.4763
2019-05-13,76.2730
2019-05-14,77.5258
2019-05-15,77.8820
2019-05-16,78.0423
2019-05-17,77.7748
2019-05-20,77.7814
2019-05-21,76.8800
2019-05-22,77.1669
2019-05-23,77.5607
2019-05-24,77.8041
2019-05-27,77.1122
2019-05-28,77.4952
2019-05-29,77.1670
2019-05-30,77.0032
2019-05-31,76.6138
2019-06-03,76.8328
2019-06-04,76.9708
2019-06-05,76.8528
2019-06-06,77.0007
2019-06-07,77.5396
2019-06-10,77.8529
2019-06-11,78.3156
2019-06-12,78.2470
2019-06-13,78.0503
2019-06-14,77.9480
2019-06-17,77.4910
2019-06-18,77.1084
2019-06-19,76.9134
2019-06-20,77.3171
2019-06-21,77.4498
2019-06-24,77.4131
2019-06-25,77.6328
2019-06-26,76.6933
2019-06-27,76.6120
2019-06-28,77.0828
2019-07-01,76.4247
2019-07-02,77.1947
2019-07-03,78.1625
2019-07-04,78.6011
2019-07-05,77.6438
2019-07-08,77.7028
2019-07-09,77.2949
2019-07-10,77.2453
2019-07-11,77.3084
2019-07-12,77.1045
2019-07-15,77.1036
2019-07-16,76.6308
2019-07-17,77.1410
2019-07-18,76.5355
2019-07-19,77.3318
2019-07-22,77.3116
2019-07-23,76.5909
2019-07-24,75.9991
2019-07-25,77.1987
2019-07-26,77.5834
2019-07-29,77.0813
2019-07-30,76.5064
2019-07-31,75.9998
2019-08-01,76.1651
2019-08-02,75.8614
2019-08-05,75.5812
2019-08-06,76.2445
2019-08-07,76.1792
2019-08-08,75.2129
2019-08-09,74.2640
2019-08-12,73.9779
2019-08-13,74.1048
2019-08-14,74.0942
2019-08-15,73.9916
2019-08-16,73.4228
2019-08-19,73.4851
