date,price
2019-01-02,100.0000
2019-01-03,100.0591
2019-01-04,100.4624
2019-01-07,99.6722
2019-01-08,100.5604
2019-01-09,100.8564
2019-01-10,100.1909
2019-01-11,100.2586
2019-01-14,100.3877
2019-01-15,99.6139
2019-01-16,99.7913
2019-01-17,99.6242
2019-01-18,99.2445
2019-01-21,99.2214
2019-01-22,99.5551
2019-01-23,99.5651
2019-01-24,99.2179
2019-01-25,98.7273
2019-01-28,99.5090
2019-01-29,99.7513
2019-01-30,100.3885
2019-01-31,100.8564
2019-02-01,100.9080
2019-02-04,100.5536
2019-02-05,100.8461
2019-02-06,101.5125
2019-02-07,102.6509
2019-02-08,102.2026
2019-02-11,101.7992
2019-02-12,101.5656
2019-02-13,101.3247
2019-02-14,102.1347
2019-02-15,102.1418
2019-02-18,102.9791
2019-02-19,103.9837
2019-02-20,104.2712
2019-02-21,104.8987
2019-02-22,105.0082
2019-02-25,104.9911
2019-02-26,105.0690
2019-02-27,106.5774
2019-02-28,105.9103
2019-03-01,106.0386
2019-03-04,105.3995
2019-03-05,106.3662
2019-03-06,106.2247
2019-03-07,105.8542
2019-03-08,105.9183
2019-03-11,106.1095
2019-03-12,106.0456
2019-03-13,106.8244
2019-03-14,107.2305
2019-03-15,107.1059
2019-03-18,106.2874
2019-03-19,105.3790
2019-03-20,105.2709
2019-03-21,104.4407
2019-03-22,104.8197
2019-03-25,105.5719
2019-03-26,104.9951
2019-03-27,105.0036
2019-03-28,104.4645
2019-03-29,103.9947
2019-04-01,103.6109
2019-04-02,103.6063
2019-04-03,103.9720
2019-04-04,103.1168
2019-04-05,103.2730
2019-04-08,103.2183
2019-04-09,102.8909
2019-04-10,102.6034
2019-04-11,102.5121
2019-04-12,102.7878
2019-04-15,103.0772
2019-04-16,102.3855
2019-04-17,103.2961
2019-04-18,102.8969
2019-04-19,102.7122
2019-04-22,102.9808
2019-04-23,103.3966
2019-04-24,102.8946
2019-04-25,102.3445
2019-04-26,102.7265
2019-04-29,102.2583
2019-04-30,102.3771
2019-05-01,102.4966
2019-05-02,102.0384
2019-05-03,101.7874
2019-05-06,102.3786
2019-05-07,102.7096
2019-05-08,102.1659
2019-05-09,102.1501
2019-05-10,102.6865
2019-05-13,103.0553
2019-05-14,103.0312
2019-05-15,102.4397
2019-05-16,102.6385
2019-05-17,103.3468
2019-05-20,103.6672
2019-05-21,103.4278
2019-05-22,102.9250
2019-05-23,102.2797
2019-05-24,102.3286
2019-05-27,102.3335
2019-05-28,102.1992
2019-05-29,102.5576
2019-05-30,101.9403
2019-05-31,101.0930
2019-06-03,100.5842
2019-06-04,101.2359
2019-06-05,102.3768
2019-06-06,102.1009
2019-06-07,101.8190
2019-06-10,101.8789
2019-06-11,101.6338
2019-06-12,101.3161
2019-06-13,101.4071
2019-06-14,101.8338
2019-06-17,101.2146
2019-06-18,102.0646
2019-06-19,102.3255
2019-06-20,102.3801
2019-06-21,103.2210
2019-06-24,102.4115
2019-06-25,102.7743
2019-06-26,102.6681
2019-06-27,103.2007
2019-06-28,103.3065
2019-07-01,103.2816
2019-07-02,103.6213
2019-07-03,103.3419
2019-07-04,102.8550
2019-07-05,102.8462
2019-07-08,103.1967
2019-07-09,103.6147
2019-07-10,103.5061
2019-07-11,103.6039
2019-07-12,102.9008
2019-07-15,103.1575
2019-07-16,103.0517
2019-07-17,103.4525
2019-07-18,103.8730
2019-07-19,104.2188
2019-07-22,103.9336
2019-07-23,103.2466
2019-07-24,103.8309
2019-07-25,103.6576
2019-07-26,103.6403
2019-07-29,103.1105
2019-07-30,102.5242
2019-07-31,102.1664
2019-08-01,101.7738
2019-08-02,101.2623
2019-08-05,101.3543
2019-08-06,101.7278
2019-08-07,100.9337
2019-08-08,101.2480
2019-08-09,101.0472
2019-08-12,101.5591
2019-08-13,102.0582
2019-08-14,101.6892
2019-08-15,102.8097
2019-08-16,103.2991
2019-08-19,102.6726
2019-08-20,101.5135
2019-08-21,101.5410
2019-08-22,101.3308
2019-08-23,100.9230
2019-08-26,101.0204
2019-08-27,101.1849
2019-08-28,101.7782
2019-08-29,101.2489
2019-08-30,101.6388
2019-09-02,101.3096
2019-09-03,101.5568
2019-09-04,101.6171
2019-09-05,100.9804
