date,price
2019-01-02,150.0000
2019-01-03,149.3369
2019-01-04,147.8491
2019-01-07,149.2229
2019-01-08,148.2808
2019-01-09,145.7421
2019-01-10,147.2538
2019-01-11,145.5318
2019-01-14,146.3040
2019-01-15,146.0195
2019-01-16,143.5980
2019-01-17,146.5345
2019-01-18,143.8886
2019-01-21,146.5993
2019-01-22,149.0425
2019-01-23,149.2722
2019-01-24,151.8013
2019-01-25,153.4301
2019-01-28,153.3522
2019-01-29,152.9135
2019-01-30,154.6207
2019-01-31,152.4839
2019-02-01,151.1688
2019-02-04,151.0334
2019-02-05,149.6429
2019-02-06,151.8834
2019-02-07,151.2595
2019-02-08,153.0874
2019-02-11,149.6640
2019-02-12,149.5205
2019-02-13,150.3513
2019-02-14,152.6543
2019-02-15,158.3043
2019-02-18,157.7950
2019-02-19,158.4706
2019-02-20,157.5736
2019-02-21,153.4882
2019-02-22,153.1372
2019-02-25,155.1232
2019-02-26,157.5238
2019-02-27,157.6774
2019-02-28,157.3701
2019-03-01,152.1828
2019-03-04,154.1729
2019-03-05,153.1187
2019-03-06,154.2451
2019-03-07,151.6191
2019-03-08,153.2051
2019-03-11,152.1999
2019-03-12,154.2130
2019-03-13,152.6682
2019-03-14,153.6375
2019-03-15,157.4308
2019-03-18,153.8696
2019-03-19,154.9743
2019-03-20,152.8920
2019-03-21,151.2359
2019-03-22,151.1754
2019-03-25,154.0530
2019-03-26,155.9825
2019-03-27,155.1589
2019-03-28,161.0220
2019-03-29,165.5096
2019-04-01,166.2715
2019-04-02,168.8866
2019-04-03,170.4439
2019-04-04,172.4865
2019-04-05,170.1375
2019-04-08,168.7142
2019-04-09,169.2247
2019-04-10,166.9469
2019-04-11,172.7598
2019-04-12,171.7220
2019-04-15,172.6069
2019-04-16,177.6688
2019-04-17,180.7426
2019-04-18,182.6858
2019-04-19,184.1433
2019-04-22,180.3112
2019-04-23,183.3511
2019-04-24,192.0695
2019-04-25,200.8569
2019-04-26,204.2318
2019-04-29,206.0067
2019-04-30,205.1846
2019-05-01,205.8588
2019-05-02,206.1494
2019-05-03,207.3781
2019-05-06,201.4906
2019-05-07,196.2497
2019-05-08,198.5242
2019-05-09,193.7621
2019-05-10,198.2969
2019-05-13,201.3311
2019-05-14,204.4919
2019-05-15,210.3251
2019-05-16,206.8505
2019-05-17,207.9949
2019-05-20,208.3767
2019-05-21,211.2830
2019-05-22,209.7660
2019-05-23,209.0066
2019-05-24,216.0625
2019-05-27,223.3915
2019-05-28,227.0425
2019-05-29,226.7216
2019-05-30,233.4754
2019-05-31,237.1775
2019-06-03,236.9027
2019-06-04,236.1963
2019-06-05,231.1244
2019-06-06,231.2736
2019-06-07,230.9736
2019-06-10,234.1008
2019-06-11,231.5493
2019-06-12,232.1379
2019-06-13,238.1758
2019-06-14,235.1349
2019-06-17,233.3143
2019-06-18,230.4008
2019-06-19,237.3113
2019-06-20,247.7758
2019-06-21,247.1707
2019-06-24,253.1589
2019-06-25,251.8195
2019-06-26,248.4011
2019-06-27,246.3177
2019-06-28,244.7785
2019-07-01,238.8023
2019-07-02,237.4999
2019-07-03,238.3085
2019-07-04,236.0723
2019-07-05,228.0667
2019-07-08,233.2179
2019-07-09,240.8325
2019-07-10,247.5272
2019-07-11,249.7477
2019-07-12,251.3773
2019-07-15,255.9799
2019-07-16,257.1530
2019-07-17,257.8627
2019-07-18,264.3667
2019-07-19,267.4516
2019-07-22,274.2759
2019-07-23,273.6141
2019-07-24,274.4872
2019-07-25,282.8011
2019-07-26,281.7836
2019-07-29,283.1662
2019-07-30,279.2407
2019-07-31,278.3190
2019-08-01,278.9773
2019-08-02,281.7753
2019-08-05,283.1395
2019-08-06,283.7972
2019-08-07,285.4591
2019-08-08,273.0576
2019-08-09,271.7582
2019-08-12,266.8294
2019-08-13,267.7119
2019-08-14,266.5172
2019-08-15,263.3721
2019-08-16,262.6533
2019-08-19,258.7715
2019-08-20,257.8054
2019-08-21,259.0141
2019-08-22,253.6837
2019-08-23,258.4270
2019-08-26,259.2382
2019-08-27,262.8596
2019-08-28,260.7588
2019-08-29,260.1478
2019-08-30,257.7146
2019-09-02,259.3642
2019-09-03,257.0247
2019-09-04,262.2479
2019-09-05,267.3430
2019-09-06,273.5977
2019-09-09,278.3481
2019-09-10,279.8109
2019-09-11,277.6449
2019-09-12,277.4541
2019-09-13,271.0212
2019-09-16,275.7870
2019-09-17,270.0879
2019-09-18,267.9857
2019-09-19,261.4212
2019-09-20,257.3563
2019-09-23,251.3336
2019-09-24,254.3153
2019-09-25,257.6806
2019-09-26,257.0521
2019-09-27,251.6969
2019-09-30,249.0278
2019-10-01,248.6378
2019-10-02,247.7888
2019-10-03,250.6619
2019-10-04,250.8187
2019-10-07,252.6778
2019-10-08,255.1978
2019-10-09,256.8107
2019-10-10,261.5780
2019-10-11,259.7348
2019-10-14,250.1045
2019-10-15,243.6262
2019-10-16,241.8838
2019-10-17,246.8940
2019-10-18,245.9328
2019-10-21,243.4239
2019-10-22,245.5166
2019-10-23,243.6973
2019-10-24,243.6509
2019-10-25,245.1256
2019-10-28,242.9291
2019-10-29,245.4713
2019-10-30,237.7772
2019-10-31,223.5091
2019-11-01,220.6619
2019-11-04,225.4308
2019-11-05,221.1127
2019-11-06,221.8920
2019-11-07,221.1869
2019-11-08,218.0085
2019-11-11,214.5724
2019-11-12,214.6258
2019-11-13,215.2806
2019-11-14,215.0331
2019-11-15,211.1439
2019-11-18,210.3110
2019-11-19,209.6622
2019-11-20,216.2344
2019-11-21,220.3254
2019-11-22,219.6095
2019-11-25,225.8220
2019-11-26,220.1108
2019-11-27,217.8843
2019-11-28,215.1266
2019-11-29,213.5887
2019-12-02,213.0119
2019-12-03,209.1905
2019-12-04,208.6274
2019-12-05,207.2541
2019-12-06,209.4443
2019-12-09,204.5688
2019-12-10,199.0670
2019-12-11,194.9454
2019-12-12,193.4861
2019-12-13,193.8183
2019-12-16,195.3059
2019-12-17,194.4737
2019-12-18,196.4631
2019-12-19,188.8159
2019-12-20,182.5051
2019-12-23,180.9404
2019-12-24,182.4394
2019-12-25,186.3230
2019-12-26,190.5116
2019-12-27,189.4645
2019-12-30,188.8591
2019-12-31,189.0050
2020-01-01,189.6754
2020-01-02,190.0709
2020-01-03,196.6933
2020-01-06,199.2182
2020-01-07,197.0423
2020-01-08,194.8813
2020-01-09,198.7590
2020-01-10,199.5466
2020-01-13,197.5341
2020-01-14,194.0118
2020-01-15,190.3143
2020-01-16,187.1761
2020-01-17,189.5175
2020-01-20,186.5719
2020-01-21,182.6995
2020-01-22,184.3476
2020-01-23,188.7950
2020-01-24,187.9680
2020-01-27,188.0213
2020-01-28,187.7869
2020-01-29,182.2674
2020-01-30,182.0608
2020-01-31,180.8392
2020-02-03,180.4305
2020-02-04,179.9890
2020-02-05,183.3114
2020-02-06,184.0185
2020-02-07,180.2022
2020-02-10,180.9965
2020-02-11,183.8489
2020-02-12,178.9345
2020-02-13,177.9511
2020-02-14,174.9537
2020-02-17,175.2813
2020-02-18,175.6656
2020-02-19,176.4927
2020-02-20,181.0655
2020-02-21,181.6149
2020-02-24,180.8516
2020-02-25,184.7052
2020-02-26,187.8021
2020-02-27,189.0179
2020-02-28,194.2872
2020-03-02,194.1001
2020-03-03,194.7443
2020-03-04,195.9024
2020-03-05,195.3823
2020-03-06,194.4633
2020-03-09,190.1408
2020-03-10,192.5387
2020-03-11,192.0837
2020-03-12,194.7953
2020-03-13,194.6233
2020-03-16,196.0015
2020-03-17,200.4588
2020-03-18,205.5975
2020-03-19,205.7322
2020-03-20,204.3515
2020-03-23,202.3084
2020-03-24,200.3570
2020-03-25,202.3308
2020-03-26,200.4279
2020-03-27,198.4847
2020-03-30,194.6806
2020-03-31,198.4010
2020-04-01,197.2863
2020-04-02,200.7128
2020-04-03,203.8884
2020-04-06,207.5079
2020-04-07,212.6173
2020-04-08,211.0862
2020-04-09,216.5278
2020-04-10,212.7889
2020-04-13,214.5903
2020-04-14,214.6508
2020-04-15,213.6983
2020-04-16,213.4826
2020-04-17,215.8022
2020-04-20,208.7090
2020-04-21,214.4242
2020-04-22,216.8481
2020-04-23,219.7605
2020-04-24,218.6420
2020-04-27,216.8736
2020-04-28,219.0969
2020-04-29,216.1964
2020-04-30,219.8249
2020-05-01,221.5053
2020-05-04,221.1470
2020-05-05,218.0679
2020-05-06,214.9973
2020-05-07,215.9691
2020-05-08,217.6472
2020-05-11,220.6521
2020-05-12,222.3496
2020-05-13,225.4095
2020-05-14,223.6550
