date,price
2019-01-02,110.0000
2019-01-03,109.8093
2019-01-04,110.7488
2019-01-07,110.0013
2019-01-08,111.4124
2019-01-09,111.7658
2019-01-10,111.0835
2019-01-11,110.9374
2019-01-14,110.8959
2019-01-15,109.5405
2019-01-16,109.1460
2019-01-17,108.9034
2019-01-18,108.2456
2019-01-21,107.9701
2019-01-22,107.9347
2019-01-23,107.8355
2019-01-24,107.9109
2019-01-25,107.1672
2019-01-28,107.9246
2019-01-29,107.7927
2019-01-30,107.7621
2019-01-31,108.1431
2019-02-01,108.2511
2019-02-04,107.3126
2019-02-05,107.5446
2019-02-06,108.5623
2019-02-07,109.1062
2019-02-08,109.3832
2019-02-11,108.5433
2019-02-12,108.2622
2019-02-13,108.2016
2019-02-14,109.1639
2019-02-15,109.0028
2019-02-18,109.4657
2019-02-19,109.9554
2019-02-20,110.0212
2019-02-21,110.4664
2019-02-22,111.0234
2019-02-25,111.3271
2019-02-26,110.9657
2019-02-27,111.9201
2019-02-28,111.7545
2019-03-01,112.1352
2019-03-04,111.9254
2019-03-05,112.6465
2019-03-06,112.2879
2019-03-07,112.1205
2019-03-08,112.3891
2019-03-11,112.2970
2019-03-12,112.3803
2019-03-13,112.8175
2019-03-14,113.1940
2019-03-15,112.4543
2019-03-18,111.6220
2019-03-19,111.1931
2019-03-20,111.2589
2019-03-21,110.5968
2019-03-22,110.2653
2019-03-25,109.9157
2019-03-26,109.8221
2019-03-27,110.1541
2019-03-28,109.9907
2019-03-29,109.0633
2019-04-01,108.8813
2019-04-02,108.7815
2019-04-03,108.5202
2019-04-04,107.7180
2019-04-05,108.1337
2019-04-08,107.6270
2019-04-09,107.2107
2019-04-10,107.1970
2019-04-11,107.7023
2019-04-12,108.0635
2019-04-15,108.2598
2019-04-16,107.9667
2019-04-17,109.1031
2019-04-18,108.3016
2019-04-19,108.3688
2019-04-22,108.9818
2019-04-23,109.6121
2019-04-24,108.8508
2019-04-25,108.2145
2019-04-26,108.9076
2019-04-29,108.8599
2019-04-30,108.6195
2019-05-01,108.4201
2019-05-02,107.9599
2019-05-03,107.7907
2019-05-06,108.4703
2019-05-07,108.3389
2019-05-08,108.0171
2019-05-09,107.8346
2019-05-10,108.8363
2019-05-13,108.8602
2019-05-14,109.2024
2019-05-15,108.5961
2019-05-16,109.0056
2019-05-17,109.0140
2019-05-20,108.7613
2019-05-21,108.1716
2019-05-22,107.7308
2019-05-23,107.1330
2019-05-24,107.0920
2019-05-27,106.9546
2019-05-28,107.1227
2019-05-29,106.8897
2019-05-30,106.1761
2019-05-31,105.3269
2019-06-03,104.8684
2019-06-04,105.7140
2019-06-05,105.9792
2019-06-06,105.8459
2019-06-07,106.1250
2019-06-10,106.3810
2019-06-11,106.7321
2019-06-12,106.4185
2019-06-13,106.4508
2019-06-14,106.9669
2019-06-17,106.6988
2019-06-18,107.3426
2019-06-19,107.0714
2019-06-20,106.8671
2019-06-21,107.4492
2019-06-24,106.7273
2019-06-25,107.2718
2019-06-26,107.1210
2019-06-27,107.6415
2019-06-28,107.8467
2019-07-01,107.4970
2019-07-02,107.5480
2019-07-03,107.9698
2019-07-04,108.4525
2019-07-05,108.0044
2019-07-08,108.4668
2019-07-09,108.5602
2019-07-10,108.1483
2019-07-11,108.4163
2019-07-12,107.9370
2019-07-15,107.9930
2019-07-16,107.8927
2019-07-17,108.1720
2019-07-18,108.5154
2019-07-19,109.0276
2019-07-22,108.7237
2019-07-23,108.1104
2019-07-24,108.0792
2019-07-25,108.4950
2019-07-26,108.4325
2019-07-29,107.6507
2019-07-30,107.0643
2019-07-31,106.1398
2019-08-01,106.3224
2019-08-02,105.5784
2019-08-05,104.9869
2019-08-06,105.2878
2019-08-07,104.4240
2019-08-08,104.6706
2019-08-09,104.2688
2019-08-12,104.7918
2019-08-13,105.4239
2019-08-14,104.7184
2019-08-15,105.0845
2019-08-16,105.1658
2019-08-19,105.1053
2019-08-20,103.7711
2019-08-21,103.3744
2019-08-22,103.2057
2019-08-23,102.9833
2019-08-26,102.7467
2019-08-27,102.5914
2019-08-28,102.4807
2019-08-29,102.1632
2019-08-30,102.1128
2019-09-02,101.7629
2019-09-03,102.1281
2019-09-04,101.9902
2019-09-05,101.7187
2019-09-06,101.5287
2019-09-09,101.6335
2019-09-10,100.7813
2019-09-11,99.8734
2019-09-12,100.0546
2019-09-13,100.1198
2019-09-16,100.1536
2019-09-17,100.9979
2019-09-18,100.2599
2019-09-19,100.9676
2019-09-20,101.4706
2019-09-23,101.6616
2019-09-24,101.7769
2019-09-25,101.7085
2019-09-26,101.2624
2019-09-27,102.8723
2019-09-30,103.4850
2019-10-01,104.5933
2019-10-02,103.9366
2019-10-03,103.7724
2019-10-04,103.6988
2019-10-07,103.2080
2019-10-08,103.2971
2019-10-09,103.3883
2019-10-10,103.5642
2019-10-11,104.5574
2019-10-14,105.3202
2019-10-15,105.2933
2019-10-16,104.8113
2019-10-17,105.6701
2019-10-18,105.8150
2019-10-21,105.5813
2019-10-22,104.9528
2019-10-23,105.2104
2019-10-24,105.3341
2019-10-25,105.3074
2019-10-28,105.2980
2019-10-29,105.4131
2019-10-30,105.2216
2019-10-31,105.6355
2019-11-01,105.3024
2019-11-04,105.8218
2019-11-05,105.9680
2019-11-06,106.1705
2019-11-07,107.1707
2019-11-08,106.9522
2019-11-11,106.9984
2019-11-12,107.3390
2019-11-13,107.4324
2019-11-14,106.9215
2019-11-15,107.0655
2019-11-18,106.7797
2019-11-19,107.0234
2019-11-20,106.1460
2019-11-21,107.1215
2019-11-22,106.1586
2019-11-25,105.8637
2019-11-26,105.5706
2019-11-27,106.1955
2019-11-28,105.8509
2019-11-29,105.9793
2019-12-02,105.3791
2019-12-03,104.9706
2019-12-04,105.6148
2019-12-05,105.4862
2019-12-06,105.8450
2019-12-09,106.0661
2019-12-10,106.2941
2019-12-11,107.0085
2019-12-12,106.9847
2019-12-13,106.3932
2019-12-16,106.0170
2019-12-17,105.5119
2019-12-18,105.8453
2019-12-19,105.8430
2019-12-20,106.8129
2019-12-23,107.1022
2019-12-24,106.5970
2019-12-25,108.0852
2019-12-26,107.6045
2019-12-27,108.5926
2019-12-30,108.9313
2019-12-31,109.0065
2020-01-01,109.5869
2020-01-02,109.7711
2020-01-03,110.1290
2020-01-06,110.2612
2020-01-07,110.3058
2020-01-08,109.5309
2020-01-09,109.0926
2020-01-10,110.2447
2020-01-13,110.3803
2020-01-14,109.5868
2020-01-15,110.6502
2020-01-16,110.9133
2020-01-17,110.7045
2020-01-20,110.2331
2020-01-21,110.7996
2020-01-22,110.1046
2020-01-23,109.8855
2020-01-24,110.3291
2020-01-27,110.9257
2020-01-28,111.4603
2020-01-29,112.1366
2020-01-30,111.8435
2020-01-31,111.8287
2020-02-03,111.8976
2020-02-04,112.4475
2020-02-05,112.7540
2020-02-06,111.8326
2020-02-07,111.6982
2020-02-10,111.5653
2020-02-11,110.8810
2020-02-12,110.5709
2020-02-13,110.4559
2020-02-14,109.9511
2020-02-17,109.8530
2020-02-18,109.1371
2020-02-19,109.7615
2020-02-20,110.1141
2020-02-21,109.7092
2020-02-24,110.4539
2020-02-25,111.0323
2020-02-26,111.1275
2020-02-27,110.5744
2020-02-28,109.9340
2020-03-02,110.3824
2020-03-03,110.7296
2020-03-04,111.0545
2020-03-05,110.7717
2020-03-06,110.7793
2020-03-09,110.8324
2020-03-10,111.2564
2020-03-11,111.1549
2020-03-12,110.0339
2020-03-13,111.3457
2020-03-16,111.2219
2020-03-17,111.7180
