date,price
2019-01-02,330.0000
2019-01-03,331.0027
2019-01-04,337.0881
2019-01-07,344.8728
2019-01-08,350.3111
2019-01-09,350.3957
2019-01-10,347.6265
2019-01-11,345.1670
2019-01-14,342.8505
2019-01-15,346.1734
2019-01-16,347.8939
2019-01-17,361.3482
2019-01-18,353.0420
2019-01-21,359.3291
2019-01-22,365.7812
2019-01-23,368.5423
2019-01-24,365.9646
2019-01-25,364.9907
2019-01-28,371.8655
2019-01-29,376.2128
2019-01-30,381.0473
2019-01-31,380.5399
2019-02-01,386.5736
2019-02-04,379.2905
2019-02-05,375.3274
2019-02-06,380.9671
2019-02-07,384.8942
2019-02-08,379.0085
2019-02-11,369.4504
2019-02-12,374.6382
2019-02-13,372.8667
2019-02-14,373.6016
2019-02-15,376.3827
2019-02-18,377.0846
2019-02-19,378.5455
2019-02-20,378.0730
2019-02-21,376.9804
2019-02-22,377.2226
2019-02-25,369.5121
2019-02-26,374.5435
2019-02-27,372.7220
2019-02-28,376.1046
2019-03-01,373.4414
2019-03-04,375.9466
2019-03-05,371.9146
2019-03-06,372.2930
2019-03-07,361.9569
2019-03-08,359.3791
2019-03-11,361.7898
2019-03-12,370.3686
2019-03-13,369.6679
2019-03-14,369.4174
2019-03-15,380.9354
2019-03-18,379.0674
2019-03-19,377.8252
2019-03-20,376.7006
2019-03-21,376.4547
2019-03-22,380.8589
2019-03-25,387.8433
2019-03-26,398.4837
2019-03-27,409.8632
2019-03-28,406.4292
2019-03-29,406.5144
2019-04-01,410.8175
2019-04-02,411.7484
2019-04-03,425.1829
2019-04-04,421.9571
2019-04-05,414.9314
2019-04-08,408.9364
2019-04-09,409.6073
2019-04-10,411.7994
2019-04-11,412.6092
2019-04-12,411.8874
2019-04-15,411.9846
2019-04-16,424.2033
2019-04-17,431.1611
2019-04-18,432.4529
2019-04-19,434.6769
2019-04-22,434.2917
2019-04-23,442.5692
2019-04-24,451.1120
2019-04-25,451.5217
2019-04-26,449.9161
2019-04-29,445.6355
2019-04-30,441.1278
2019-05-01,448.3956
2019-05-02,447.2969
2019-05-03,435.3006
2019-05-06,429.2281
2019-05-07,427.1528
2019-05-08,435.8602
2019-05-09,442.9857
2019-05-10,442.6965
2019-05-13,439.0746
2019-05-14,449.0506
2019-05-15,450.3982
2019-05-16,450.9245
2019-05-17,444.5839
2019-05-20,448.5340
2019-05-21,452.9958
2019-05-22,461.5478
2019-05-23,471.1941
2019-05-24,476.1633
2019-05-27,473.3196
2019-05-28,476.0918
2019-05-29,471.4674
2019-05-30,486.7178
2019-05-31,490.2351
2019-06-03,488.4873
2019-06-04,493.5795
2019-06-05,496.3030
2019-06-06,507.1904
2019-06-07,502.6901
2019-06-10,508.9144
2019-06-11,500.4088
2019-06-12,506.1774
2019-06-13,507.8256
2019-06-14,500.3894
2019-06-17,495.2825
2019-06-18,486.2296
2019-06-19,495.9628
2019-06-20,512.2404
2019-06-21,516.2018
2019-06-24,524.3095
2019-06-25,523.1918
2019-06-26,509.0993
2019-06-27,508.5251
2019-06-28,514.7454
2019-07-01,513.4448
2019-07-02,527.3468
2019-07-03,523.6249
2019-07-04,512.1679
2019-07-05,501.5433
2019-07-08,495.5311
2019-07-09,506.0500
2019-07-10,511.0642
2019-07-11,513.7161
2019-07-12,527.9315
2019-07-15,535.1100
2019-07-16,533.0067
2019-07-17,536.0096
2019-07-18,537.5463
2019-07-19,549.0189
2019-07-22,552.4159
2019-07-23,557.4233
2019-07-24,554.9859
2019-07-25,564.9419
2019-07-26,573.1914
2019-07-29,579.5200
2019-07-30,568.3526
2019-07-31,557.0923
2019-08-01,559.4494
2019-08-02,554.8297
2019-08-05,558.4513
2019-08-06,563.0216
2019-08-07,556.4444
2019-08-08,549.2220
2019-08-09,532.1441
2019-08-12,525.8889
2019-08-13,526.5605
2019-08-14,519.7803
2019-08-15,514.2170
2019-08-16,519.5958
2019-08-19,508.1600
2019-08-20,506.6748
2019-08-21,513.3348
2019-08-22,507.0230
2019-08-23,515.6329
2019-08-26,503.4626
2019-08-27,517.0054
2019-08-28,518.0126
2019-08-29,512.1047
2019-08-30,511.0877
2019-09-02,510.6024
2019-09-03,506.6439
2019-09-04,503.5512
2019-09-05,519.4887
2019-09-06,511.6301
2019-09-09,524.8125
2019-09-10,527.4538
2019-09-11,516.1546
2019-09-12,521.6792
2019-09-13,515.8539
2019-09-16,514.8183
2019-09-17,511.2313
2019-09-18,505.3099
2019-09-19,501.2592
2019-09-20,501.0509
2019-09-23,490.8620
2019-09-24,494.8524
2019-09-25,499.3935
2019-09-26,503.5697
2019-09-27,507.6140
2019-09-30,494.4924
2019-10-01,505.4027
2019-10-02,507.3672
2019-10-03,508.3030
2019-10-04,505.1820
2019-10-07,494.0906
2019-10-08,492.9220
2019-10-09,488.0450
2019-10-10,484.8436
2019-10-11,481.1208
2019-10-14,477.9564
2019-10-15,473.3362
2019-10-16,468.8254
2019-10-17,471.6181
2019-10-18,470.4921
2019-10-21,467.7197
2019-10-22,477.4321
2019-10-23,482.4493
2019-10-24,481.0243
2019-10-25,477.3382
2019-10-28,490.3768
2019-10-29,493.2804
2019-10-30,497.4159
2019-10-31,487.2524
2019-11-01,488.4528
2019-11-04,480.4851
2019-11-05,466.6564
2019-11-06,471.8337
