date,price
2019-01-02,350.0000
2019-01-03,356.9624
2019-01-04,356.2392
2019-01-07,363.0690
2019-01-08,361.1669
2019-01-09,359.0941
2019-01-10,356.6025
2019-01-11,354.4344
2019-01-14,352.2167
2019-01-15,350.5684
2019-01-16,349.0869
2019-01-17,360.7698
2019-01-18,360.1523
2019-01-21,363.1059
2019-01-22,371.4835
2019-01-23,373.1669
2019-01-24,370.0766
2019-01-25,367.7799
2019-01-28,372.2682
2019-01-29,369.2406
2019-01-30,367.1134
2019-01-31,365.5381
2019-02-01,372.3068
2019-02-04,364.7213
2019-02-05,363.1778
2019-02-06,369.2920
2019-02-07,377.0217
2019-02-08,373.1718
2019-02-11,371.1120
2019-02-12,372.1094
2019-02-13,370.3447
2019-02-14,368.1085
2019-02-15,371.3703
2019-02-18,370.0092
2019-02-19,371.1332
2019-02-20,367.3682
2019-02-21,370.0791
2019-02-22,366.3607
2019-02-25,364.6425
2019-02-26,369.1400
2019-02-27,365.0812
2019-02-28,367.6003
2019-03-01,364.6489
2019-03-04,365.2632
2019-03-05,361.7693
2019-03-06,366.8063
2019-03-07,355.8651
2019-03-08,348.7619
2019-03-11,347.6506
2019-03-12,347.7922
2019-03-13,345.8339
2019-03-14,346.7909
2019-03-15,355.4076
2019-03-18,353.8689
2019-03-19,349.4586
2019-03-20,347.8016
2019-03-21,346.4322
2019-03-22,344.9334
2019-03-25,351.2473
2019-03-26,358.2277
2019-03-27,364.7151
2019-03-28,362.8635
2019-03-29,360.5836
2019-04-01,362.8157
2019-04-02,363.4230
2019-04-03,369.4357
2019-04-04,364.0427
2019-04-05,363.6182
2019-04-08,359.3738
2019-04-09,360.8466
2019-04-10,361.3692
2019-04-11,363.7535
2019-04-12,363.5994
2019-04-15,362.4548
2019-04-16,369.7847
2019-04-17,370.3458
2019-04-18,375.4862
2019-04-19,379.9668
2019-04-22,382.7503
2019-04-23,386.9589
2019-04-24,400.1101
2019-04-25,410.5890
2019-04-26,411.4336
2019-04-29,410.9949
2019-04-30,408.2268
2019-05-01,410.4414
2019-05-02,406.8282
2019-05-03,397.7687
2019-05-06,394.3822
2019-05-07,388.4424
2019-05-08,397.3117
2019-05-09,397.8158
2019-05-10,391.2843
2019-05-13,394.8755
2019-05-14,402.3801
2019-05-15,406.8196
2019-05-16,398.8599
2019-05-17,394.4858
2019-05-20,393.8583
2019-05-21,393.9266
2019-05-22,394.2805
2019-05-23,398.7704
2019-05-24,402.2203
2019-05-27,403.7728
2019-05-28,408.6669
2019-05-29,405.4705
2019-05-30,414.9246
2019-05-31,420.8793
2019-06-03,421.4611
2019-06-04,422.7553
2019-06-05,425.8186
2019-06-06,430.1592
2019-06-07,434.0227
2019-06-10,433.8377
2019-06-11,433.0323
2019-06-12,434.7327
2019-06-13,432.5868
2019-06-14,422.3241
2019-06-17,417.8397
2019-06-18,409.2653
2019-06-19,417.7562
2019-06-20,425.0312
2019-06-21,421.0923
2019-06-24,429.8485
2019-06-25,427.1761
2019-06-26,421.9007
2019-06-27,420.1383
2019-06-28,422.4763
2019-07-01,418.3737
2019-07-02,424.8012
2019-07-03,425.5748
2019-07-04,425.7808
2019-07-05,415.7248
2019-07-08,413.3624
2019-07-09,418.6058
2019-07-10,420.3988
2019-07-11,423.3133
2019-07-12,431.1170
2019-07-15,436.3083
2019-07-16,434.5436
2019-07-17,432.3757
2019-07-18,435.2926
2019-07-19,435.8327
2019-07-22,442.3768
2019-07-23,442.4655
2019-07-24,438.8740
2019-07-25,446.2553
2019-07-26,450.5392
2019-07-29,451.5459
2019-07-30,451.4884
2019-07-31,449.9413
2019-08-01,455.8393
2019-08-02,454.1346
2019-08-05,461.4145
2019-08-06,463.0226
2019-08-07,459.2124
2019-08-08,447.0804
2019-08-09,436.4174
2019-08-12,431.2922
2019-08-13,432.5671
2019-08-14,432.2628
2019-08-15,431.9905
2019-08-16,427.1916
2019-08-19,421.0987
2019-08-20,424.8231
2019-08-21,428.9721
2019-08-22,425.8133
2019-08-23,435.3662
2019-08-26,428.5818
2019-08-27,432.6978
2019-08-28,435.3589
2019-08-29,430.2169
2019-08-30,428.2220
2019-09-02,427.0836
2019-09-03,431.2215
2019-09-04,433.2399
2019-09-05,443.5289
2019-09-06,437.6267
2019-09-09,440.6205
2019-09-10,446.0246
2019-09-11,441.2960
2019-09-12,441.3475
2019-09-13,439.1253
2019-09-16,446.3659
2019-09-17,446.7611
2019-09-18,444.2529
2019-09-19,442.5635
2019-09-20,438.6467
2019-09-23,437.3930
2019-09-24,438.4380
2019-09-25,440.5702
2019-09-26,443.7614
2019-09-27,442.5197
2019-09-30,442.5405
2019-10-01,446.5878
2019-10-02,455.6684
2019-10-03,458.5533
2019-10-04,460.8245
2019-10-07,449.4824
