date,price
2019-01-02,400.0000
2019-01-03,403.7693
2019-01-04,404.0326
2019-01-07,406.5750
2019-01-08,407.1938
2019-01-09,401.9357
2019-01-10,399.6798
2019-01-11,401.0377
2019-01-14,400.1707
2019-01-15,400.2062
2019-01-16,399.6042
2019-01-17,407.7540
2019-01-18,406.7285
2019-01-21,408.1007
2019-01-22,415.8860
2019-01-23,420.7811
2019-01-24,418.9371
2019-01-25,414.4297
2019-01-28,418.3641
2019-01-29,413.9861
2019-01-30,415.8207
2019-01-31,412.0154
2019-02-01,416.0111
2019-02-04,415.3873
2019-02-05,412.1612
2019-02-06,417.2969
2019-02-07,418.4510
2019-02-08,412.3598
2019-02-11,406.3006
2019-02-12,403.7905
2019-02-13,399.2681
2019-02-14,400.4374
2019-02-15,401.4504
2019-02-18,399.4983
2019-02-19,395.7561
2019-02-20,391.8296
2019-02-21,391.4357
2019-02-22,386.0698
2019-02-25,387.2570
2019-02-26,388.3009
2019-02-27,386.4023
2019-02-28,388.1374
2019-03-01,384.2694
2019-03-04,387.5300
2019-03-05,387.7994
2019-03-06,392.3624
2019-03-07,382.5595
2019-03-08,380.7783
2019-03-11,378.2290
2019-03-12,379.5944
2019-03-13,377.4253
2019-03-14,376.9733
2019-03-15,376.9866
2019-03-18,374.1868
2019-03-19,375.4487
2019-03-20,373.5037
2019-03-21,373.2743
2019-03-22,371.9818
2019-03-25,373.7877
2019-03-26,379.6047
2019-03-27,385.4817
2019-03-28,389.2027
2019-03-29,392.2571
2019-04-01,394.4647
2019-04-02,392.8296
2019-04-03,396.3844
2019-04-04,395.1037
2019-04-05,390.7990
2019-04-08,388.9999
2019-04-09,393.6308
2019-04-10,390.2457
2019-04-11,395.9609
2019-04-12,394.3774
2019-04-15,392.2677
2019-04-16,401.6931
2019-04-17,402.2331
2019-04-18,408.6201
2019-04-19,407.9657
2019-04-22,405.9734
2019-04-23,410.5136
2019-04-24,422.3665
2019-04-25,431.3741
2019-04-26,433.1722
2019-04-29,433.5591
2019-04-30,434.8685
2019-05-01,434.6839
2019-05-02,430.0779
2019-05-03,425.9409
2019-05-06,420.4692
2019-05-07,418.2555
2019-05-08,421.5782
2019-05-09,422.5124
2019-05-10,417.9085
2019-05-13,425.8099
2019-05-14,432.0446
2019-05-15,434.6966
2019-05-16,430.1836
2019-05-17,431.4140
2019-05-20,431.6817
2019-05-21,431.2012
2019-05-22,433.2139
2019-05-23,436.9577
2019-05-24,441.2643
2019-05-27,444.9917
2019-05-28,450.5227
2019-05-29,446.4826
2019-05-30,456.4786
2019-05-31,462.9420
2019-06-03,463.5790
2019-06-04,466.8938
2019-06-05,465.2426
2019-06-06,467.2283
2019-06-07,466.7691
2019-06-10,468.7754
2019-06-11,466.9349
2019-06-12,475.0659
2019-06-13,474.5686
2019-06-14,469.6242
2019-06-17,464.1448
2019-06-18,460.7677
2019-06-19,468.1797
2019-06-20,472.1679
2019-06-21,471.6281
2019-06-24,477.7128
2019-06-25,477.8797
2019-06-26,473.4766
2019-06-27,467.1428
2019-06-28,472.2398
2019-07-01,462.8168
2019-07-02,467.8345
2019-07-03,471.6707
2019-07-04,468.8587
2019-07-05,461.5058
2019-07-08,463.6297
2019-07-09,467.6492
2019-07-10,467.8769
2019-07-11,467.9777
2019-07-12,469.3875
2019-07-15,474.7379
2019-07-16,475.4629
2019-07-17,473.3502
2019-07-18,475.4505
2019-07-19,478.5336
2019-07-22,479.2956
2019-07-23,479.5829
2019-07-24,478.5131
2019-07-25,487.6342
2019-07-26,493.6369
2019-07-29,490.1726
2019-07-30,488.3741
2019-07-31,488.0378
2019-08-01,490.0505
2019-08-02,489.1176
2019-08-05,493.6424
2019-08-06,498.8800
2019-08-07,502.1848
2019-08-08,491.9906
2019-08-09,483.6372
2019-08-12,477.0222
2019-08-13,479.6209
2019-08-14,479.7960
2019-08-15,479.3255
2019-08-16,473.6382
