date,price
2019-01-02,95.0000
2019-01-03,95.2006
2019-01-04,95.9646
2019-01-07,94.4202
2019-01-08,96.5629
2019-01-09,96.6690
2019-01-10,95.4204
2019-01-11,95.2448
2019-01-14,95.7960
2019-01-15,93.9435
2019-01-16,93.9870
2019-01-17,93.4602
2019-01-18,92.0909
2019-01-21,91.6762
2019-01-22,92.1752
2019-01-23,91.8171
2019-01-24,90.9394
2019-01-25,89.5165
2019-01-28,91.0665
2019-01-29,91.2931
2019-01-30,92.9483
2019-01-31,93.8531
2019-02-01,94.0182
2019-02-04,93.3240
2019-02-05,93.9142
2019-02-06,95.9267
2019-02-07,98.7515
2019-02-08,98.1280
2019-02-11,97.2168
2019-02-12,97.2134
2019-02-13,96.7504
2019-02-14,98.7432
2019-02-15,97.9553
2019-02-18,99.2698
2019-02-19,101.4807
2019-02-20,101.5023
2019-02-21,102.5270
2019-02-22,102.7550
2019-02-25,102.7838
2019-02-26,103.3737
2019-02-27,105.9075
2019-02-28,104.4308
2019-03-01,104.6443
2019-03-04,103.3257
2019-03-05,105.6376
2019-03-06,104.9825
2019-03-07,104.2695
2019-03-08,104.3044
2019-03-11,105.1113
2019-03-12,104.6253
2019-03-13,105.6325
2019-03-14,106.4179
2019-03-15,105.6816
2019-03-18,103.7539
2019-03-19,102.1527
2019-03-20,102.1233
2019-03-21,100.7500
2019-03-22,101.3765
2019-03-25,102.5979
2019-03-26,101.8030
2019-03-27,102.3422
2019-03-28,101.1906
2019-03-29,100.3827
2019-04-01,100.0349
2019-04-02,100.0188
2019-04-03,100.7157
2019-04-04,98.3643
2019-04-05,98.1113
2019-04-08,97.6022
2019-04-09,97.2970
2019-04-10,96.3030
2019-04-11,95.9961
2019-04-12,96.5695
2019-04-15,96.9107
2019-04-16,95.6401
2019-04-17,97.4477
2019-04-18,96.7786
2019-04-19,96.3716
2019-04-22,97.4099
2019-04-23,98.1642
2019-04-24,97.0704
2019-04-25,95.4563
2019-04-26,96.1938
2019-04-29,95.3733
2019-04-30,95.4820
2019-05-01,95.1808
2019-05-02,93.7423
2019-05-03,93.0313
2019-05-06,94.0976
2019-05-07,94.1624
2019-05-08,93.0255
2019-05-09,93.5373
2019-05-10,94.6712
2019-05-13,94.7158
2019-05-14,94.8694
2019-05-15,93.5301
2019-05-16,93.1145
2019-05-17,94.3285
2019-05-20,94.7630
2019-05-21,94.5088
2019-05-22,93.9627
2019-05-23,92.4409
2019-05-24,92.1017
2019-05-27,92.5872
2019-05-28,92.2806
2019-05-29,92.5739
2019-05-30,91.5133
2019-05-31,90.0650
2019-06-03,89.0242
2019-06-04,90.1588
2019-06-05,92.0488
2019-06-06,91.5229
2019-06-07,90.6789
2019-06-10,90.5492
2019-06-11,90.0686
2019-06-12,89.1544
2019-06-13,89.6269
2019-06-14,90.4817
2019-06-17,89.2022
2019-06-18,91.1629
2019-06-19,91.2135
2019-06-20,91.5432
2019-06-21,92.9626
2019-06-24,91.3513
2019-06-25,92.5008
2019-06-26,92.4112
2019-06-27,93.3068
2019-06-28,93.5578
2019-07-01,93.2596
2019-07-02,93.9696
2019-07-03,93.6999
2019-07-04,93.4882
2019-07-05,93.3065
2019-07-08,93.7716
2019-07-09,94.2499
2019-07-10,93.8466
2019-07-11,94.0598
2019-07-12,92.6709
2019-07-15,93.2397
2019-07-16,93.3582
2019-07-17,93.6703
2019-07-18,94.6060
2019-07-19,94.8705
2019-07-22,94.4061
2019-07-23,93.6268
2019-07-24,94.5101
2019-07-25,94.0272
2019-07-26,94.1961
2019-07-29,93.2431
2019-07-30,91.8879
2019-07-31,90.9464
2019-08-01,90.8143
2019-08-02,89.2803
2019-08-05,89.4360
2019-08-06,90.1703
2019-08-07,88.7616
2019-08-08,89.4020
2019-08-09,89.0152
2019-08-12,90.2194
2019-08-13,90.8482
2019-08-14,89.6980
2019-08-15,91.3719
2019-08-16,92.2806
2019-08-19,91.4034
2019-08-20,88.9759
2019-08-21,88.6140
2019-08-22,88.0308
2019-08-23,87.6236
2019-08-26,87.5541
2019-08-27,87.9864
2019-08-28,88.9359
2019-08-29,87.7122
2019-08-30,88.3265
2019-09-02,87.2388
2019-09-03,87.6239
2019-09-04,87.9224
2019-09-05,86.9623
2019-09-06,87.3162
2019-09-09,87.0443
2019-09-10,86.4673
2019-09-11,85.2408
2019-09-12,85.5225
2019-09-13,85.8538
2019-09-16,84.5929
2019-09-17,86.5940
