date,price
2019-01-02,70.0000
2019-01-03,70.9377
2019-01-04,68.3053
2019-01-07,68.3661
2019-01-08,66.9490
2019-01-09,66.6394
2019-01-10,65.5996
2019-01-11,64.5324
2019-01-14,68.4685
2019-01-15,66.5910
2019-01-16,65.3741
2019-01-17,65.1937
2019-01-18,67.6379
2019-01-21,68.5592
2019-01-22,67.6666
2019-01-23,66.8719
2019-01-24,66.3956
2019-01-25,64.8274
2019-01-28,65.7364
2019-01-29,65.6710
2019-01-30,64.3931
2019-01-31,65.8907
2019-02-01,67.9420
2019-02-04,66.3484
2019-02-05,68.0272
2019-02-06,67.8222
2019-02-07,68.2378
2019-02-08,69.5431
2019-02-11,71.6510
2019-02-12,71.4500
2019-02-13,71.4679
2019-02-14,73.2461
2019-02-15,71.4885
2019-02-18,72.4251
2019-02-19,74.1718
2019-02-20,73.5566
2019-02-21,73.8726
2019-02-22,73.8607
2019-02-25,73.3166
2019-02-26,72.8479
2019-02-27,70.0010
2019-02-28,71.7385
2019-03-01,70.4383
2019-03-04,69.8850
2019-03-05,71.5766
2019-03-06,71.4968
2019-03-07,70.4519
2019-03-08,67.6915
2019-03-11,66.3000
2019-03-12,66.6279
2019-03-13,65.1847
2019-03-14,64.4207
2019-03-15,65.0866
2019-03-18,69.0775
2019-03-19,68.2466
2019-03-20,65.6357
2019-03-21,67.1866
2019-03-22,68.5723
2019-03-25,68.6520
2019-03-26,69.1398
2019-03-27,68.8117
2019-03-28,69.0641
2019-03-29,71.1875
2019-04-01,70.0213
2019-04-02,71.7258
2019-04-03,71.6755
2019-04-04,71.2275
2019-04-05,71.2484
2019-04-08,70.8261
2019-04-09,70.0617
2019-04-10,72.1950
2019-04-11,72.2725
2019-04-12,71.2104
2019-04-15,69.0170
2019-04-16,69.6088
2019-04-17,69.9668
2019-04-18,68.6419
2019-04-19,68.8103
2019-04-22,67.1413
2019-04-23,67.9602
2019-04-24,66.3095
2019-04-25,65.6114
2019-04-26,63.5663
2019-04-29,65.5958
2019-04-30,63.6576
2019-05-01,62.7431
2019-05-02,63.2816
2019-05-03,64.7687
2019-05-06,66.7751
2019-05-07,67.8206
2019-05-08,69.2944
2019-05-09,68.6865
2019-05-10,68.4154
2019-05-13,68.1877
2019-05-14,68.9619
2019-05-15,66.6675
2019-05-16,67.0738
2019-05-17,67.3612
2019-05-20,67.8754
2019-05-21,66.5512
2019-05-22,68.9012
2019-05-23,69.6815
2019-05-24,71.7507
2019-05-27,71.3533
2019-05-28,70.9631
2019-05-29,69.2641
2019-05-30,68.2021
2019-05-31,66.4795
2019-06-03,68.1774
2019-06-04,66.1484
2019-06-05,66.4871
2019-06-06,67.4955
2019-06-07,67.6616
2019-06-10,70.0159
2019-06-11,70.1802
2019-06-12,68.9866
2019-06-13,66.3181
2019-06-14,67.5078
2019-06-17,67.4473
2019-06-18,67.1095
2019-06-19,67.0684
2019-06-20,68.7554
2019-06-21,69.0688
2019-06-24,67.7534
2019-06-25,68.1546
2019-06-26,69.6774
2019-06-27,66.6514
2019-06-28,65.7021
2019-07-01,66.5528
2019-07-02,67.5403
2019-07-03,67.0242
2019-07-04,68.8564
2019-07-05,69.1020
2019-07-08,69.9098
2019-07-09,69.9747
2019-07-10,70.9811
2019-07-11,70.9027
2019-07-12,70.1258
2019-07-15,71.0587
2019-07-16,70.6402
2019-07-17,74.0501
2019-07-18,70.0884
2019-07-19,72.8464
2019-07-22,74.6820
2019-07-23,76.2372
2019-07-24,76.2557
2019-07-25,76.5806
2019-07-26,76.5336
2019-07-29,76.3132
2019-07-30,77.9486
2019-07-31,79.1565
2019-08-01,78.3383
2019-08-02,76.2630
2019-08-05,74.1409
2019-08-06,74.3769
2019-08-07,73.6424
2019-08-08,74.0202
2019-08-09,75.8893
2019-08-12,75.1171
2019-08-13,76.1415
2019-08-14,75.8451
2019-08-15,77.3221
2019-08-16,75.4887
2019-08-19,75.5726
2019-08-20,75.7546
2019-08-21,75.7316
2019-08-22,74.2825
2019-08-23,73.7761
2019-08-26,73.6257
2019-08-27,73.5121
2019-08-28,75.1301
2019-08-29,74.7124
2019-08-30,76.6374
2019-09-02,76.1422
2019-09-03,78.1490
2019-09-04,75.4861
2019-09-05,75.3232
2019-09-06,73.4356
2019-09-09,74.0517
2019-09-10,72.0711
2019-09-11,73.2887
2019-09-12,73.6848
2019-09-13,74.4956
2019-09-16,75.3119
2019-09-17,77.7742
2019-09-18,77.4422
2019-09-19,77.7450
2019-09-20,78.6327
2019-09-23,80.2278
2019-09-24,79.7775
2019-09-25,78.0492
2019-09-26,77.7908
2019-09-27,77.0203
2019-09-30,77.4055
2019-10-01,77.7238
2019-10-02,77.4090
2019-10-03,74.5889
2019-10-04,72.7769
2019-10-07,73.1074
2019-10-08,73.6375
2019-10-09,73.3350
2019-10-10,73.8610
2019-10-11,71.4328
2019-10-14,71.5092
2019-10-15,71.3745
2019-10-16,71.5701
