date,price
2021-09-17,100.000000
2021-09-20,101.384040
2021-09-21,101.159177
2021-09-22,101.631399
2021-09-23,99.791344
2021-09-24,98.226777
2021-09-27,98.234495
2021-09-28,96.492667
2021-09-29,96.072085
2021-09-30,96.293601
2021-10-01,97.162501
2021-10-04,96.953432
2021-10-05,95.886453
2021-10-06,96.320755
2021-10-07,95.265181
2021-10-08,94.644647
2021-10-12,95.911793
2021-10-13,96.990261
2021-10-14,97.650300
2021-10-15,97.004136
2021-10-18,97.882881
2021-10-19,96.152087
2021-10-20,95.522185
2021-10-21,95.319246
2021-10-22,96.386839
2021-10-25,96.180755
2021-10-26,97.047506
2021-10-27,99.251475
2021-10-28,99.034826
2021-10-29,99.716659
2021-11-01,98.600615
2021-11-02,99.053967
2021-11-03,98.171124
2021-11-04,99.066280
2021-11-05,101.113800
2021-11-08,100.659868
2021-11-09,102.056778
2021-11-10,99.977085
2021-11-12,99.305944
2021-11-15,97.976252
2021-11-16,97.764422
2021-11-17,98.211678
2021-11-18,98.884353
2021-11-19,100.242023
2021-11-22,98.668195
2021-11-23,97.791281
2021-11-24,99.125035
2021-11-29,101.173769
2021-11-30,103.290462
2021-12-01,103.537318
2021-12-02,103.785054
2021-12-03,105.496208
2021-12-06,104.030943
2021-12-07,102.836575
2021-12-08,101.196955
2021-12-09,101.204430
2021-12-10,100.980681
2021-12-13,102.618792
2021-12-14,102.389733
2021-12-15,101.458791
2021-12-16,101.234121
2021-12-17,102.407638
2021-12-20,101.710183
2021-12-21,100.789370
2021-12-22,101.489623
2021-12-23,100.342459
2021-12-27,101.037793
2021-12-28,100.584873
2021-12-29,99.228589
2021-12-30,99.911756
2022-01-03,98.125375
2022-01-04,96.822459
2022-01-05,96.400440
2022-01-06,96.408394
2022-01-07,95.989414
2022-01-10,95.997409
2022-01-11,96.645676
2022-01-12,96.653612
2022-01-13,97.308827
2022-01-14,95.810516
2022-01-18,94.557657
2022-01-19,95.399879
2022-01-20,95.407937
2022-01-21,96.902803
2022-01-24,96.266164
2022-01-25,95.848416
2022-01-26,95.013248
2022-01-27,96.497993
2022-01-28,96.935610
2022-01-31,96.084993
2022-02-01,95.880533
2022-02-02,96.100856
2022-02-03,95.473087
2022-02-04,93.609146
2022-02-07,93.821598
2022-02-08,93.218256
2022-02-09,93.226533
2022-02-10,92.228775
2022-02-11,93.441121
2022-02-14,92.439678
2022-02-15,90.866822
2022-02-16,91.460521
2022-02-17,92.060360
2022-02-18,93.470824
2022-02-22,93.479086
2022-02-23,92.477236
2022-02-24,92.685718
2022-02-25,92.493749
2022-02-28,94.939849
2022-03-01,96.209275
2022-03-02,93.496091
2022-03-03,93.504355
2022-03-04,95.157759
2022-03-07,94.540572
2022-03-08,93.520282
2022-03-09,92.517990
2022-03-10,90.748357
2022-03-11,91.145465
2022-03-14,89.038551
2022-03-15,88.672492
2022-03-16,89.243219
2022-03-17,88.501684
2022-03-18,90.014210
2022-03-21,87.579806
2022-03-22,86.680414
2022-03-23,88.142752
2022-03-24,88.336502
2022-03-25,86.696365
2022-03-28,87.246811
2022-03-29,87.986161
2022-03-30,88.921926
2022-03-31,89.684088
2022-04-01,89.692720
2022-04-04,88.945379
2022-04-05,87.287259
2022-04-06,86.214184
2022-04-07,85.162877
2022-04-08,83.961160
2022-04-11,82.620226
2022-04-12,82.962462
2022-04-13,83.139084
2022-04-14,81.329061
2022-04-18,80.854940
2022-04-19,79.910413
2022-04-20,81.672993
2022-04-21,81.034128
2022-04-22,80.882939
2022-04-25,82.024454
2022-04-26,82.362639
2022-04-27,81.551662
2022-04-28,81.398785
2022-04-29,80.763792
2022-05-02,79.039708
2022-05-03,79.669343
2022-05-04,79.992162
2022-05-05,77.838659
2022-05-06,76.657761
2022-05-09,77.256738
2022-05-10,78.314955
2022-05-11,79.397009
2022-05-12,80.188153
2022-05-13,78.638942
2022-05-16,78.801595
2022-05-17,77.596684
2022-05-18,79.120480
2022-05-19,79.439608
2022-05-20,80.388788
2022-05-23,78.988328
2022-05-24,80.557080
2022-05-25,80.725755
2022-05-26,80.416916
2022-05-27,80.744270
2022-05-31,79.178188
2022-06-01,78.879557
2022-06-02,78.889155
2022-06-03,78.592459
2022-06-06,77.393884
2022-06-07,78.302778
2022-06-08,77.559129
2022-06-09,77.568840
2022-06-10,77.280815
2022-06-13,74.116925
2022-06-14,73.713406
2022-06-15,74.552105
2022-06-16,75.123616
2022-06-17,75.845330
2022-06-21,74.576191
2022-06-22,76.577231
2022-06-23,77.174146
2022-06-24,76.448954
2022-06-27,75.735311
2022-06-28,75.888699
2022-06-29,77.060757
2022-06-30,78.262742
2022-07-01,78.728215
2022-07-05,79.661935
2022-07-06,78.284987
2022-07-07,77.393207
2022-07-08,76.372418
2022-07-11,77.704760
2022-07-12,78.466810
2022-07-13,79.241048
2022-07-14,78.789166
2022-07-15,78.951965
2022-07-18,78.350866
2022-07-19,77.907720
2022-07-20,77.917444
2022-07-21,79.293753
2022-07-22,80.552315
2022-07-25,79.930700
2022-07-26,80.097037
2022-07-27,80.106596
2022-07-28,80.273470
2022-07-29,80.599112
2022-08-01,81.891292
2022-08-02,80.610856
2022-08-03,81.258502
2022-08-04,81.107373
2022-08-05,79.690685
2022-08-08,80.641685
2022-08-09,80.492647
2022-08-10,80.029190
2022-08-11,78.338496
2022-08-12,78.803867
2022-08-15,79.119905
2022-08-16,78.975968
2022-08-17,78.375495
2022-08-18,78.536786
2022-08-19,77.343741
2022-08-22,77.058175
2022-08-23,76.774467
2022-08-24,75.913578
2022-08-25,76.936896
2022-08-26,77.536614
2022-08-29,76.954947
2022-08-30,77.259052
2022-08-31,76.681018
2022-09-01,75.250514
2022-09-02,75.543907
2022-09-06,73.596888
2022-09-07,74.568647
2022-09-08,74.162669
2022-09-09,73.897593
2022-09-12,73.091335
2022-09-13,73.371303
2022-09-14,73.925850
2022-09-15,73.798981
2022-09-16,73.264903
2022-09-19,73.275049
2022-09-20,72.347832
2022-09-21,73.561378
2022-09-22,71.569950
2022-09-23,72.102100
2022-09-26,70.686018
2022-09-27,68.824306
2022-09-28,70.944070
2022-09-29,70.826652
2022-09-30,69.826736
2022-10-03,70.589655
2022-10-04,70.981784
2022-10-05,69.978407
2022-10-06,69.615416
2022-10-07,69.010527
2022-10-11,68.294366
2022-10-12,68.545169
2022-10-13,67.718753
2022-10-14,67.493652
2022-10-17,66.920568
2022-10-18,66.931190
2022-10-19,65.685197
2022-10-20,64.697707
2022-10-21,63.735761
2022-10-24,63.007437
2022-10-25,64.504224
2022-10-26,65.282000
2022-10-27,66.075519
2022-10-28,65.747881
2022-10-31,64.979624
2022-11-01,65.878715
2022-11-02,65.776987
2022-11-03,65.452114
2022-11-04,64.471755
2022-11-07,63.729542
2022-11-08,64.382983
2022-11-09,64.070374
2022-11-10,67.187718
2022-11-14,66.735220
2022-11-15,67.792252
2022-11-16,69.362682
2022-11-17,68.884505
2022-11-18,68.532384
2022-11-21,68.663355
2022-11-22,69.648515
2022-11-23,70.783508
2022-11-25,70.793917
2022-11-28,70.804327
2022-11-29,69.933213
2022-11-30,70.068223
2022-12-01,72.114819
2022-12-02,73.183388
2022-12-05,72.394165
2022-12-06,73.739031
2022-12-07,75.125688
2022-12-08,74.856034
2022-12-09,73.218458
2022-12-12,73.094573
2022-12-13,73.643155
2022-12-14,73.789139
2022-12-15,74.346189
2022-12-16,73.671950
2022-12-19,72.474968
2022-12-20,70.925098
2022-12-21,70.935528
2022-12-22,71.073370
2022-12-23,69.947487
2022-12-27,68.609387
2022-12-28,68.022347
2022-12-29,68.749212
2022-12-30,68.160223
2023-01-03,69.252631
2023-01-04,70.125400
2023-01-05,70.511456
2023-01-06,71.925415
2023-01-09,72.066104
2023-01-10,71.042219
2023-01-11,71.952512
2023-01-12,73.414710
2023-01-13,72.755831
