date,price
2019-01-02,105.0000
2019-01-03,105.7714
2019-01-04,106.1274
2019-01-07,111.9782
2019-01-08,115.0001
2019-01-09,113.3237
2019-01-10,111.7165
2019-01-11,107.7220
2019-01-14,108.2520
2019-01-15,107.3800
2019-01-16,102.8191
2019-01-17,103.7210
2019-01-18,104.5287
2019-01-21,104.0526
2019-01-22,106.1756
2019-01-23,106.0822
2019-01-24,105.4019
2019-01-25,103.0975
2019-01-28,103.5151
2019-01-29,104.0232
2019-01-30,103.1476
2019-01-31,102.8546
2019-02-01,106.0580
2019-02-04,107.1127
2019-02-05,107.5413
2019-02-06,104.2274
2019-02-07,103.4244
2019-02-08,105.3182
2019-02-11,104.8593
2019-02-12,103.9032
2019-02-13,102.9495
2019-02-14,103.5712
2019-02-15,100.2071
2019-02-18,98.8767
2019-02-19,100.8969
2019-02-20,100.9418
2019-02-21,102.8567
2019-02-22,99.6917
2019-02-25,102.1404
2019-02-26,102.9412
2019-02-27,99.7255
2019-02-28,101.9554
2019-03-01,100.9434
2019-03-04,101.0740
2019-03-05,101.9069
2019-03-06,102.1178
2019-03-07,100.9065
2019-03-08,98.8788
2019-03-11,99.5947
2019-03-12,98.3394
2019-03-13,96.1154
2019-03-14,97.4485
2019-03-15,98.5677
2019-03-18,100.3205
2019-03-19,100.0663
2019-03-20,97.0443
2019-03-21,101.0717
2019-03-22,102.2914
2019-03-25,103.3004
2019-03-26,104.3442
2019-03-27,107.6750
2019-03-28,108.0816
2019-03-29,108.8251
2019-04-01,109.6870
2019-04-02,111.2406
2019-04-03,112.7080
2019-04-04,110.5101
2019-04-05,109.3236
2019-04-08,107.9298
2019-04-09,106.4708
2019-04-10,106.0234
2019-04-11,103.9435
2019-04-12,104.3790
2019-04-15,100.6919
2019-04-16,104.4803
2019-04-17,105.4458
2019-04-18,105.5668
2019-04-19,102.7850
2019-04-22,103.9920
2019-04-23,106.6664
2019-04-24,105.2970
2019-04-25,107.8779
2019-04-26,103.9234
2019-04-29,107.0969
2019-04-30,107.8019
2019-05-01,109.7619
2019-05-02,110.4474
2019-05-03,108.4958
2019-05-06,108.0579
2019-05-07,108.4979
2019-05-08,112.4523
2019-05-09,110.4612
2019-05-10,110.8848
2019-05-13,110.8931
2019-05-14,114.5832
2019-05-15,115.4756
2019-05-16,119.9340
2019-05-17,121.6152
2019-05-20,119.1061
2019-05-21,119.8365
2019-05-22,122.5573
2019-05-23,125.4121
2019-05-24,127.2470
2019-05-27,126.7041
2019-05-28,125.2805
2019-05-29,121.7259
2019-05-30,122.9644
2019-05-31,120.2661
2019-06-03,116.1712
2019-06-04,117.4157
2019-06-05,116.7381
2019-06-06,117.1102
2019-06-07,119.2028
2019-06-10,121.1244
2019-06-11,119.9981
2019-06-12,120.6619
2019-06-13,121.2193
2019-06-14,123.5324
2019-06-17,124.1751
2019-06-18,120.4521
2019-06-19,122.7650
2019-06-20,126.1184
2019-06-21,129.1439
2019-06-24,127.3559
2019-06-25,128.1119
2019-06-26,127.1727
2019-06-27,120.2427
2019-06-28,120.8905
2019-07-01,121.7570
2019-07-02,125.7295
2019-07-03,125.1292
2019-07-04,123.8737
2019-07-05,116.9551
2019-07-08,119.1516
2019-07-09,122.8118
2019-07-10,127.5145
2019-07-11,128.0187
2019-07-12,128.2609
2019-07-15,130.3892
2019-07-16,130.9262
2019-07-17,132.3682
2019-07-18,127.8799
2019-07-19,132.8717
2019-07-22,132.5929
2019-07-23,131.4843
