estimator,sample_size,index,estimated_eigenvalue,true_eigenvalue
Sample,60,0,1.842555222e-07,2.23739771e-07
Sample,60,1,1.23492954e-06,1.566458901e-06
Sample,60,2,2.191059859e-06,2.746943642e-06
Sample,60,3,3.297848472e-06,3.754230924e-06
Sample,60,4,4.806725295e-06,5.18313425e-06
Sample,60,5,7.652757657e-06,8.055493928e-06
Sample,60,6,1.55089689e-05,1.634111943e-05
Sample,60,7,2.882067722e-05,2.874872782e-05
Sample,60,8,0.0001858970824,0.0001944465526
Sample,60,9,0.0003995023109,0.0004054777877
Sample,60,10,0.0007037592845,0.0006844294287
EWMA,60,0,1.487353121e-07,2.23739771e-07
EWMA,60,1,9.866409963e-07,1.566458901e-06
EWMA,60,2,1.755990479e-06,2.746943642e-06
EWMA,60,3,2.79702798e-06,3.754230924e-06
EWMA,60,4,4.252861528e-06,5.18313425e-06
EWMA,60,5,6.982735935e-06,8.055493928e-06
EWMA,60,6,1.402393343e-05,1.634111943e-05
EWMA,60,7,2.73355816e-05,2.874872782e-05
EWMA,60,8,0.0001692200689,0.0001944465526
EWMA,60,9,0.0003737288211,0.0004054777877
EWMA,60,10,0.0007095876601,0.0006844294287
Ledoit-Wolf,60,0,7.679518832e-07,2.23739771e-07
Ledoit-Wolf,60,1,3.709632964e-06,1.566458901e-06
Ledoit-Wolf,60,2,6.872411217e-06,2.746943642e-06
Ledoit-Wolf,60,3,8.574882138e-06,3.754230924e-06
Ledoit-Wolf,60,4,1.350675714e-05,5.18313425e-06
Ledoit-Wolf,60,5,1.807184605e-05,8.055493928e-06
Ledoit-Wolf,60,6,2.457446864e-05,1.634111943e-05
Ledoit-Wolf,60,7,3.298885002e-05,2.874872782e-05
Ledoit-Wolf,60,8,0.0001699554824,0.0001944465526
Ledoit-Wolf,60,9,0.0003685578513,0.0004054777877
Ledoit-Wolf,60,10,0.0006827281682,0.0006844294287
Sample,125,0,2.025711176e-07,2.23739771e-07
Sample,125,1,1.414719097e-06,1.566458901e-06
Sample,125,2,2.457777313e-06,2.746943642e-06
Sample,125,3,3.502269062e-06,3.754230924e-06
Sample,125,4,5.015389652e-06,5.18313425e-06
Sample,125,5,7.842199857e-06,8.055493928e-06
Sample,125,6,1.592107204e-05,1.634111943e-05
Sample,125,7,2.879347266e-05,2.874872782e-05
Sample,125,8,0.0001904154449,0.0001944465526
Sample,125,9,0.0003979841879,0.0004054777877
Sample,125,10,0.0006977097891,0.0006844294287
EWMA,125,0,1.562485017e-07,2.23739771e-07
EWMA,125,1,1.012799013e-06,1.566458901e-06
EWMA,125,2,1.78208305e-06,2.746943642e-06
EWMA,125,3,2.802415372e-06,3.754230924e-06
EWMA,125,4,4.231832686e-06,5.18313425e-06
EWMA,125,5,7.073973743e-06,8.055493928e-06
EWMA,125,6,1.428775968e-05,1.634111943e-05
EWMA,125,7,2.721687687e-05,2.874872782e-05
EWMA,125,8,0.0001727463233,0.0001944465526
EWMA,125,9,0.0003812860263,0.0004054777877
EWMA,125,10,0.0007148174901,0.0006844294287
Ledoit-Wolf,125,0,6.002730083e-07,2.23739771e-07
Ledoit-Wolf,125,1,2.684723506e-06,1.566458901e-06
Ledoit-Wolf,125,2,5.031233335e-06,2.746943642e-06
Ledoit-Wolf,125,3,6.079825778e-06,3.754230924e-06
Ledoit-Wolf,125,4,1.037090414e-05,5.18313425e-06
Ledoit-Wolf,125,5,1.242695827e-05,8.055493928e-06
Ledoit-Wolf,125,6,2.203173978e-05,1.634111943e-05
Ledoit-Wolf,125,7,2.861557483e-05,2.874872782e-05
Ledoit-Wolf,125,8,0.0001821628144,0.0001944465526
Ledoit-Wolf,125,9,0.0003821010547,0.0004054777877
Ledoit-Wolf,125,10,0.0006883437199,0.0006844294287
Sample,250,0,2.137522283e-07,2.23739771e-07
Sample,250,1,1.500964271e-06,1.566458901e-06
Sample,250,2,2.603769545e-06,2.746943642e-06
Sample,250,3,3.641094283e-06,3.754230924e-06
Sample,250,4,5.091135062e-06,5.18313425e-06
Sample,250,5,7.941132991e-06,8.055493928e-06
Sample,250,6,1.60107777e-05,1.634111943e-05
Sample,250,7,2.834133186e-05,2.874872782e-05
Sample,250,8,0.0001920720257,0.0001944465526
Sample,250,9,0.0004049863902,0.0004054777877
Sample,250,10,0.0006886402143,0.0006844294287
EWMA,250,0,1.532481822e-07,2.23739771e-07
EWMA,250,1,1.025496742e-06,1.566458901e-06
EWMA,250,2,1.803031501e-06,2.746943642e-06
EWMA,250,3,2.806911648e-06,3.754230924e-06
EWMA,250,4,4.342546674e-06,5.18313425e-06
EWMA,250,5,7.145419769e-06,8.055493928e-06
EWMA,250,6,1.434763475e-05,1.634111943e-05
EWMA,250,7,2.672239364e-05,2.874872782e-05
EWMA,250,8,0.0001698681326,0.0001944465526
EWMA,250,9,0.00038083933,0.0004054777877
EWMA,250,10,0.0007177854887,0.0006844294287
Ledoit-Wolf,250,0,4.719178283e-07,2.23739771e-07
Ledoit-Wolf,250,1,2.140455165e-06,1.566458901e-06
Ledoit-Wolf,250,2,3.966661982e-06,2.746943642e-06
Ledoit-Wolf,250,3,4.953413519e-06,3.754230924e-06
Ledoit-Wolf,250,4,8.452650511e-06,5.18313425e-06
Ledoit-Wolf,250,5,9.717448275e-06,8.055493928e-06
Ledoit-Wolf,250,6,1.93946854e-05,1.634111943e-05
Ledoit-Wolf,250,7,2.798517079e-05,2.874872782e-05
Ledoit-Wolf,250,8,0.0001878743229,0.0001944465526
Ledoit-Wolf,250,9,0.0003965318481,0.0004054777877
Ledoit-Wolf,250,10,0.0006841498433,0.0006844294287
Sample,500,0,2.178011151e-07,2.23739771e-07
Sample,500,1,1.529498245e-06,1.566458901e-06
Sample,500,2,2.671179511e-06,2.746943642e-06
Sample,500,3,3.70622191e-06,3.754230924e-06
Sample,500,4,5.113108891e-06,5.18313425e-06
Sample,500,5,8.025734381e-06,8.055493928e-06
Sample,500,6,1.618856955e-05,1.634111943e-05
Sample,500,7,2.866456697e-05,2.874872782e-05
Sample,500,8,0.0001933403645,0.0001944465526
Sample,500,9,0.0004051574856,0.0004054777877
Sample,500,10,0.00068530944,0.0006844294287
EWMA,500,0,1.559458378e-07,2.23739771e-07
EWMA,500,1,1.032155968e-06,1.566458901e-06
EWMA,500,2,1.823872657e-06,2.746943642e-06
EWMA,500,3,2.812987676e-06,3.754230924e-06
EWMA,500,4,4.284867223e-06,5.18313425e-06
EWMA,500,5,7.117274265e-06,8.055493928e-06
EWMA,500,6,1.387003701e-05,1.634111943e-05
EWMA,500,7,2.697899803e-05,2.874872782e-05
EWMA,500,8,0.0001697076205,0.0001944465526
EWMA,500,9,0.0003736083908,0.0004054777877
EWMA,500,10,0.000702329023,0.0006844294287
Ledoit-Wolf,500,0,3.694764005e-07,2.23739771e-07
Ledoit-Wolf,500,1,1.853987327e-06,1.566458901e-06
Ledoit-Wolf,500,2,3.359365037e-06,2.746943642e-06
Ledoit-Wolf,500,3,4.367515979e-06,3.754230924e-06
Ledoit-Wolf,500,4,6.964499459e-06,5.18313425e-06
