estimator,sample_size,replications,frobenius_mean,frobenius_se,condition_mean,condition_se,correlation_condition_mean,shrinkage_mean,vol_bias,vol_abs_error,vol_abs_error_se,true_vol,var99_bias,var99_abs_error,var99_abs_error_se,true_var99,min_eigenvalue_mean,max_eigenvalue_mean,true_min_eigenvalue,true_max_eigenvalue
Sample,60,400,0.000199190011,3.14392958e-06,4040.970775,57.82246005,398.7753919,0,3.125923727e-05,0.0003749145939,1.389401924e-05,0.004966002472,7.271986017e-05,0.0008721817685,3.232232212e-05,0.01155264929,1.849434698e-07,0.0007161648982,2.23739771e-07,0.0006844294287
Sample,125,400,0.0001391965821,2.353575867e-06,3492.980239,35.1471856,336.7974886,0,-4.620559664e-05,0.0002516374971,9.270274166e-06,0.004966002472,-0.0001074902915,0.0005853963563,2.15658826e-05,0.01155264929,2.046524312e-07,0.0007011147699,2.23739771e-07,0.0006844294287
Sample,250,400,9.595778979e-05,1.507714025e-06,3228.53838,20.78535483,313.9661163,0,1.157130938e-05,0.0001805940638,7.014933597e-06,0.004966002472,2.691889097e-05,0.0004201246165,1.631917586e-05,0.01155264929,2.161601698e-07,0.0006918543943,2.23739771e-07,0.0006844294287
Sample,500,400,6.727678572e-05,1.06744496e-06,3143.487058,14.36097797,303.3724783,0,4.648957902e-06,0.0001314387254,4.89295684e-06,0.004966002472,1.081509333e-05,0.0003057721993,1.138271974e-05,0.01155264929,2.200945358e-07,0.0006889525436,2.23739771e-07,0.0006844294287
Sample,1260,400,4.286593628e-05,6.973429494e-07,3100.48498,8.932180803,301.296357,0,-6.849845213e-06,8.319616742e-05,2.953348127e-06,0.004966002472,-1.593512285e-05,0.0001935432272,6.870515136e-06,0.01155264929,2.214175227e-07,0.0006853830547,2.23739771e-07,0.0006844294287
EWMA,60,400,0.0002691087609,4.862596228e-06,5189.190062,100.9030478,506.6384231,0,-5.915980687e-05,0.0004993917651,1.9937649e-05,0.004966002472,-0.0001376262909,0.001161758971,4.638190737e-05,0.01155264929,1.50943285e-07,0.0007284250477,2.23739771e-07,0.0006844294287
EWMA,125,400,0.0002573972526,4.585665331e-06,5022.321517,88.79795606,483.5312971,0,-0.0001397665698,0.0004842143297,1.761239541e-05,0.004966002472,-0.0003251456624,0.001126450976,4.097255861e-05,0.01155264929,1.550789842e-07,0.0007276126253,2.23739771e-07,0.0006844294287
EWMA,250,400,0.0002569226099,4.312356611e-06,4844.378757,94.69842502,481.5114946,0,-0.0001610556658,0.0005021813941,1.730205143e-05,0.004966002472,-0.0003746715057,0.001168248619,4.025059057e-05,0.01155264929,1.56023257e-07,0.0007039925884,2.23739771e-07,0.0006844294287
EWMA,500,400,0.0002629237321,4.737270575e-06,4980.888039,95.24897352,504.9581309,0,-8.134859171e-05,0.0005063500653,1.798708595e-05,0.004966002472,-0.0001892451234,0.001177946398,4.184421915e-05,0.01155264929,1.544627878e-07,0.0007109901426,2.23739771e-07,0.0006844294287
EWMA,1260,400,0.0002538266876,4.41657282e-06,5008.869488,87.4749482,489.0412678,0,-0.0001354112631,0.0004682642803,1.689200429e-05,0.004966002472,-0.000315013704,0.001089345613,3.929667827e-05,0.01155264929,1.519676625e-07,0.0007136890297,2.23739771e-07,0.0006844294287
Ledoit-Wolf,60,400,0.000193796646,2.886282576e-06,940.1553964,11.8061477,35.02999445,0.1499122071,-7.86216404e-05,0.0003655278881,1.353537776e-05,0.004966002472,-0.000182901286,0.0008503450255,3.148799728e-05,0.01155264929,7.600260404e-07,0.0006940944676,2.23739771e-07,0.0006844294287
Ledoit-Wolf,125,400,0.0001382362427,2.231835867e-06,1165.370874,10.56930668,61.17673908,0.07559732199,-9.851533366e-05,0.0002576060649,9.352332152e-06,0.004966002472,-0.000229180937,0.0005992813214,2.175677802e-05,0.01155264929,6.014770449e-07,0.000691439101,2.23739771e-07,0.0006844294287
Ledoit-Wolf,250,400,9.523335354e-05,1.476891177e-06,1465.6142,8.40593003,99.57829414,0.03871569111,-1.553380105e-05,0.0001773799536,7.018161457e-06,0.004966002472,-3.613702504e-05,0.0004126474781,1.632668499e-05,0.01155264929,4.716050942e-07,0.0006872049322,2.23739771e-07,0.0006844294287
Ledoit-Wolf,500,400,6.704953892e-05,1.068828378e-06,1860.601885,7.749364255,147.5717625,0.01970301194,-8.968834669e-06,0.0001310783688,4.859760839e-06,0.004966002472,-2.086462947e-05,0.0003049338846,1.13054943e-05,0.01155264929,3.70233896e-07,0.0006866915026,2.23739771e-07,0.0006844294287
Ledoit-Wolf,1260,400,4.278747811e-05,6.914303528e-07,2375.612852,6.295179865,212.7019947,0.00783110682,-1.222123374e-05,8.331352853e-05,2.969420475e-06,0.004966002472,-2.843084114e-05,0.00019381625,6.907905009e-06,0.01155264929,2.88467505e-07,0.0006844853517,2.23739771e-07,0.0006844294287
